                                                                         Intersection: US 64 at Connector Road
                                                                                     Count Number: 10-07023
                                                                                    NCDOT Division Number: 8
                                                                                             County: Randolph
                                                                                                 City: Asheboro
                                                                       12 Hour Count Volume: 10,365 vehicles

             Count Day & Date                       Count Time(s)                  Weather Conditions
          Monday, December 6, 2010           6 AM - 9 AM / 10 AM ­ 7 PM            Cold (26°F) & Sunny

  Counter: Al Daniels
  Data Processor: Shannon Grubbs, EI
  Data Collection Method: Jamar Count Board (Unit # D4-1802)

  NOTES
  1) No school is located in the immediate vicinity of the intersection.
  2) No pedestrians were observed.
  3) The SB, WB & EB approach grades are 0%, the NB is 1%.
  4) No highway construction was observed within a ¼ mile radius.
  5) Data collection equipment was operating correctly at time of
     count.
  6) Counter took a break from 2:00 to 2:30 PM. Data for this period
     was interpolated.
  7) The counter did not have any additional notes.
                                                                                                      VICINITY MAP




                                                                                  INTERSECTION SKETCH

Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8741
                                                                       Intersection: US 64 at Connector Road
                                                                                   Count Number: 10-07023
                                                                                  NCDOT Division Number: 8
                                                                                           County: Randolph
                                                                                               City: Asheboro
                                                                     12 Hour Count Volume: 10,365 vehicles


                              Intersection Leg Photographs ­ Facing Intersection




             Connector Road ­ Southern Leg                              Citgo Driveway ­ Northern Leg




              US Highway 64 ­ Western Leg                                US Highway 64 ­ Eastern Leg




Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8741
                                                                       Intersection: US 64 at Connector Road
                                                                                   Count Number: 10-07023
                                                                                  NCDOT Division Number: 8
                                                                                           County: Randolph
                                                                                               City: Asheboro
                                                                     12 Hour Count Volume: 10,365 vehicles


                               Intersection Leg Photographs ­ Facing Upstream




             Connector Road ­ Southern Leg                              Citgo Driveway ­ Northern Leg




              US Highway 64 ­ Western Leg                                US Highway 64 ­ Eastern Leg




Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8741
                                                        Mekuria Engineering, Inc.
                                                Post Office Box 10505, Raleigh, North Carolina 27605
Counted By: Al Daniels                                                                                                       File Name    : 10-07023
Weather Conditions: Cold & Sunny                      phone: 919.833.8743 / fax: 919.833.1276                                Site Code    : 01007023
NCDOT Division: 8                                                                                                            Start Date   : 12/6/2010
County: Randolph                                                                                                             Page No      :1


                                                             Groups Printed- All Vehicles
                     Citgo Driveway (Middle of 3)       US Highway 64                Connector Road              US Highway 64
                              Southbound                   Westbound                    Northbound                  Eastbound
       Start Time       Right      Thru      Left    Right     Thru      Left     Right      Thru      Left   Right     Thru      Left     Int. Total
        06:00 AM            0         0         0        0       41       20          1         0        0       4        45        0            111
        06:15 AM            0         0         0        1       48       11          0         0        2       6        58        0            126
        06:30 AM            0         0         0        0       51       20          0         0        3       7        80        0            161
        06:45 AM            0         0         0        0       76       31          1         0        1       4        83        0            196
             Total          0         0         0        1      216       82          2         0        6      21       266        0            594

        07:00 AM           0         0         0        0       63        27        0         0          4       9      61           0          164
        07:15 AM           0         0         0        0       62        27        0         2         10       9      82           0          192
        07:30 AM           0         0         0        0       64        44        0         0          3      17     100           0          228
        07:45 AM           0         0         0        0       60        35        0         0          4      15     136           0          250
            Total          0         0         0        0      249       133        0         2         21      50     379           0          834

        08:00 AM           0         0         0        0       64        26        0         1          7      13     114           7          232
        08:15 AM           0         0         0        0       63        34        1         0          4       6     104           0          212
        08:30 AM           0         0         0        2       57        31        2         0          3       6      83           0          184
        08:45 AM           0         0         0        0       71        25        0         0          2       2      87           0          187
            Total          0         0         0        2      255       116        3         1         16      27     388           7          815

***BREAK***

        10:00 AM           0         0         0        0       51        29        0         0          6       3      80           0          169
        10:15 AM           0         0         0        0       92        29        1         0          3       4      77           0          206
        10:30 AM           0         0         0        0       77        37        2         1          4       8      78           0          207
        10:45 AM           0         0         0        0       51        41        2         1          0       5      54           0          154
            Total          0         0         0        0      271       136        5         2         13      20     289           0          736

        11:00 AM           0         0         0        0       60        37        2         0          3       5      86           0          193
        11:15 AM           0         0         0        0       59        40        2         0          8       3      81           0          193
        11:30 AM           0         0         0        0       78        23        2         0          2       3      67           0          175
        11:45 AM           0         0         0        0       77        38        2         0          0       6      59           0          182
            Total          0         0         0        0      274       138        8         0         13      17     293           0          743

        12:00 PM           0         0         0        0       66        38        1         0          5      10      62           0          182
        12:15 PM           0         0         0        0       87        33        1         0          4       7      81           0          213
        12:30 PM           0         0         0        0       54        34        1         0          1      10      70           0          170
        12:45 PM           0         0         0        0       62        36        2         0          4       9      79           0          192
            Total          0         0         0        0      269       141        5         0         14      36     292           0          757

        01:00 PM           0         0         0        0       61        36        1         0          3       8      89           0          198
        01:15 PM           0         0         0        0       83        36        2         0          3       8      85           0          217
        01:30 PM           0         0         0        0       69        48        0         0          3       9      55           0          184
        01:45 PM           0         0         0        0       78        44        6         0          5       8      72           0          213
            Total          0         0         0        0      291       164        9         0         14      33     301           0          812

        02:00 PM           0         0         0        0       80        39        4         0          4      10      75           0          212
        02:15 PM           0         0         0        0       80        39        4         0          4      10      75           0          212
        02:30 PM           0         0         0        0       82        34        1         0          3      12      77           0          209
        02:45 PM           0         0         0        0       86        43        2         0          4      12      99           0          246
            Total          0         0         0        0      328       155       11         0         15      44     326           0          879

