                                                     Intersection: US Highway 17 at SR 1303 (Hickman Road)
                                                                                  Count Number: 11-07086
                                                                                NCDOT Division Number: 3
                                                                                         County: Brunswick
                                                                                             City: Calabash
                                                                    12 Hour Count Volume: 11,894 vehicles

             Count Day & Date                      Count Time(s)                   Weather Conditions
         Wednesday, January 4, 2012                 2 PM ­ 7 PM                          Clear
          Thursday, January 5, 2012         6 AM ­ 9 AM / 10 AM ­ 2 PM                   Clear

  Counter: Al Daniels & Tom VandenHeuvel
  Data Processor: Shannon Grubbs, EI
  Data Collection Method: Jamar Count Boards (Unit #s D4-5826 & T-2850)

  NOTES
  1) No schools are located in the immediate vicinity of the studied
     intersection, however Brunswick County Schools were in session
     on the dates of the count.
  2) No pedestrians were observed.
  3) All approach grades are 0%.
  4) No highway construction was observed within a ¼ mile radius.
  5) Data collection equipment was operating correctly at time of
     count.
  6) Counter Notes: No emergency vehicles with activate lights and                                    VICINITY MAP
     sirens were observed during this count.




Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8743
                                                     Intersection: US Highway 17 at SR 1303 (Hickman Road)
                                                                                  Count Number: 11-07086
                                                                                NCDOT Division Number: 3
                                                                                         County: Brunswick
                                                                                             City: Calabash
                                                                    12 Hour Count Volume: 11,894 vehicles



                              Intersection Leg Photographs ­ Facing Intersection




         SR 1303 (Hickman Road) ­ Northern Leg                    Private Residence Driveway ­ Southern Leg




              US Highway 17 ­ Eastern Leg                               US Highway 17 ­ Western Leg




Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8743
                                                     Intersection: US Highway 17 at SR 1303 (Hickman Road)
                                                                                  Count Number: 11-07086
                                                                                NCDOT Division Number: 3
                                                                                         County: Brunswick
                                                                                             City: Calabash
                                                                    12 Hour Count Volume: 11,894 vehicles


                               Intersection Leg Photographs ­ Facing Upstream




         SR 1303 (Hickman Road) ­ Northern Leg                    Private Residence Driveway ­ Southern Leg




               US Highway 17 ­ Eastern Leg                               US Highway 17 ­ Western Leg




Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8743
                                                         Mekuria Engineering, Inc.
                                         Post Office Box 10505, Raleigh, North Carolina 27605
Counted By:Al Daniels & Tom VandenHeuvel                                                                                            File Name    : 11-07086
Weather Conditions: Clear                      phone: 919.833.8743 / fax: 919.833.1276                                              Site Code    : 01107086
NCDOT Division: 3                                                                                                                   Start Date   : 1/4/2012
County: Brunswick                                                                                                                   Page No      :1


                                       Groups Printed- Passenger Vehicles - Trucks (3+ Axles) - School Buses
                     SR 1303 (Hickman Road)             US Highway 17                   Private Driveway               US Highway 17
                            Southbound                    Westbound                        Northbound                     Eastbound
       Start Time     Right      Thru      Left     Right      Thru         Left     Right       Thru        Left   Right      Thru      Left     Int. Total
        06:00 AM          0         0       15         20         17          0          0          0          0        0        22        1             75
        06:15 AM          1         0       23         23         18          0          0          0          0        0        28        1             94
        06:30 AM          0         0       30         40         24          0          0          0          0        0        31        0            125
        06:45 AM          0         0       26         27         29          0          0          0          0        0        37        2            121
             Total        1         0       94       110          88          0          0          0          0        0       118        4            415

        07:00 AM          2          0        43         27        37          0          0          0         0       0       43          0           152
        07:15 AM          0          0        61         43        39          0          0          0         0       0       79          0           222
        07:30 AM          0          0        44         44        67          0          0          0         0       0      139          1           295
        07:45 AM          5          0        56         45       105          0          0          1         1       0       62          0           275
             Total        7          0       204        159       248          0          0          1         1       0      323          1           944

        08:00 AM          2          0        46         41        63          0          0          0         0       0       73          0           225
        08:15 AM          1          0        41         53        85          0          0          0         0       0       79          2           261
        08:30 AM          2          0        41         37        71          0          0          0         0       0       68          0           219
        08:45 AM          2          0        31         34        69          0          0          0         0       0       70          0           206
             Total        7          0       159        165       288          0          0          0         0       0      290          2           911

*** BREAK ***

        10:00 AM          1          0        31         44        76          0          0          0         0       0       72          0           224
        10:15 AM          0          0        31         42        78          0          0          0         0       0       57          0           208
        10:30 AM          0          0        33         52       111          0          0          0         0       0       64          0           260
        10:45 AM          0          0        26         36        85          0          0          0         0       0       73          0           220
             Total        1          0       121        174       350          0          0          0         0       0      266          0           912

        11:00 AM          0          0        25         29        77          0          0          0         0       0       75          3           209
        11:15 AM          2          0        34         37        94          0          0          0         0       0       84          0           251
        11:30 AM          0          0        46         39       101          0          0          1         0       0       81          1           269
        11:45 AM          1          0        26         23       101          0          0          0         0       0       83          0           234
             Total        3          0       131        128       373          0          0          1         0       0      323          4           963

        12:00 PM          0          0        50         32        80          0          0          0         0       0       82          3           247
        12:15 PM          3          0        46         29        75          1          0          0         0       0       88          5           247
        12:30 PM          0          0        35         44       112          0          0          0         0       0       89          3           283
        12:45 PM          1          0        44         24        92          0          0          0         0       0       94          2           257
             Total        4          0       175        129       359          1          0          0         0       0      353         13          1034

        01:00 PM          1          0        29         45        99          0          0          0         0       0       90          1           265
        01:15 PM          0          0        31         31        74          0          0          0         0       0       78          0           214
        01:30 PM          0          0        29         20        89          0          0          0         0       0       77          2           217
        01:45 PM          0          0        33         36       108          0          0          0         0       0       67          1           245
             Total        1          0       122        132       370          0          0          0         0       0      312          4           941

        02:00 PM          2          0        38         33        82          1          0          0         1       0       83          5           245
        02:15 PM          3          0        69         28       115          0          0          0         0       0       96          0           311
        02:30 PM          0          0        45         42        84          0          0          0         1       0      113          2           287
        02:45 PM          1          0        60         31        88          0          0          0         1       0      147          4           332
             Total        6          0       212        134       369          1          0          0         3       0      439         11          1175

        03:00 PM          2          0        24         44       122          0          0          0         0       0      130          4           326
        03:15 PM          0          0        50         30       105          0          0          0         1       0       96          5           287
        03:30 PM          0          0        46         53       107          0          0          0         0       0       96          0           302
