                                                                   Intersection: NC 27 at SR 1561 (Bailey Road)
                                                                                     Count Number: 10-07025
                                                                                   NCDOT Division Number: 6
                                                                                               County: Harnett
                                                                                                    City: Coats
                                                                        12 Hour Count Volume: 3,663 vehicles

             Count Day & Date                       Count Time(s)                  Weather Conditions
         Monday, December 13, 2010                   3 PM ­ 7 PM                      Clear (30°F)
         Tuesday, December 14, 2010          6 AM - 9 AM / 10 AM ­ 3 PM               Clear (20°F)

  Counter: Al Daniels
  Data Processor: Shannon Grubbs, EI
  Data Collection Method: Jamar Count Board (Unit # T12-1590)

  NOTES
  1) No school is located in the immediate vicinity of the intersection.
  2) Pedestrians were observed and counted - none were disabled.
  3) All approach grades are 0%.
  4) No highway construction was observed within a ¼ mile radius.
  5) Data collection equipment was operating correctly at time of
     count.
  6) Counter took a break from 11:00 to 11:15 AM. Data for this
     period was interpolated.                                                                         VICINITY MAP
  7) The counter did not have any additional notes.




                                                                                     INTERSECTION SKETCH

Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8741
                                                                 Intersection: NC 27 at SR 1561 (Bailey Road)
                                                                                   Count Number: 10-07025
                                                                                 NCDOT Division Number: 6
                                                                                             County: Harnett
                                                                                                  City: Coats
                                                                      12 Hour Count Volume: 3,663 vehicles


                              Intersection Leg Photographs ­ Facing Intersection




          SR 1561 (Bailey Road) ­ Southern Leg                       SR 1561 (Bailey Road) ­ Northern Leg




              NC Highway 27 ­ Western Leg                                NC Highway 27 ­ Eastern Leg




Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8741
                                                                 Intersection: NC 27 at SR 1561 (Bailey Road)
                                                                                   Count Number: 10-07025
                                                                                 NCDOT Division Number: 6
                                                                                             County: Harnett
                                                                                                  City: Coats
                                                                      12 Hour Count Volume: 3,663 vehicles


                               Intersection Leg Photographs ­ Facing Upstream




          SR 1561 (Bailey Road) ­ Southern Leg                       SR 1561 (Bailey Road) ­ Northern Leg




              NC Highway 27 ­ Western Leg                                NC Highway 27 ­ Eastern Leg




Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8741
                                                     Mekuria Engineering, Inc.
                                             Post Office Box 10505, Raleigh, North Carolina 27605
Counted By: Al Daniels                                                                                                 File Name      : 10-07025
Weather Conditions: Clear                          phone: 919.833.8743 / fax: 919.833.1276                             Site Code      : 01007025
NCDOT Division: 6                                                                                                      Start Date     : 12/13/2010
County: Harnett                                                                                                        Page No        :1


                                                 Groups Printed- All Vehicles - Trucks (3+ Axles)
                      SR 1561 (Bailey Road)         NC Highway 27                SR 1561 (Bailey Road)         NC Highway 27
                            Southbound                 Westbound                       Northbound                 Eastbound
        Start Time    Right      Thru     Left   Right     Thru        Left      Right      Thru     Left   Right     Thru     Left     Int. Total
         06:00 AM        0          2       1        1        10          0         1          0       3       0        20       0             38
         06:15 AM        2          0       0        0        28          1         0          2       0       0        18       0             51
         06:30 AM        1          0       2        1        35          1         1          0       1       0        30       0             72
         06:45 AM        2          1       1        1        19          0         0          1       0       2        17       0             44
              Total      5          3       4        3        92          2         2          3       4       2        85       0            205

        07:00 AM            0      1        1        0         2         0         0         0         0       0       0         0             4
        07:15 AM            0      1        2        2        28         0         4         1         1       0      21         0            60
        07:30 AM            1      0        1        4        25         0         1         1         0       0      34         0            67
        07:45 AM            0      1        9        6        27         0         2         1         2       1      54         0           103
            Total           1      3       13       12        82         0         7         3         3       1     109         0           234

        08:00 AM            0      1        3        0        45         0         2         3         2       0      46         1           103
        08:15 AM            1      1        1        5        45         1         0         1         1       0      28         0            84
        08:30 AM            1      3        2        1        46         3         0         2         0       0      32         0            90
        08:45 AM            2      2        1        0        42         2         0         1         2       0      30         0            82
            Total           4      7        7        6       178         6         2         7         5       0     136         1           359

***BREAK***

        10:00 AM            0      2        1        1        26         1         2         1         1       0      16         2            53
        10:15 AM            0      1        0        1        27         1         2         2         2       0      14         0            50
        10:30 AM            1      2        0        1        18         2         0         0         2       0      12         0            38
        10:45 AM            0      0        1        2        18         0         1         0         1       0       7         0            30
            Total           1      5        2        5        89         4         5         3         6       0      49         2           171

        11:00 AM            0      0        2        3        23         1         2         0         1       1      20         2            55
        11:15 AM            0      0        3        3        30         1         3         0         0       2      35         4            81
        11:30 AM            1      0        1        0        28         3         0         1         1       1      20         0            56
        11:45 AM            0      1        2        0        38         1         0         1         0       0      30         0            73
            Total           1      1        8        6       119         6         5         2         2       4     105         6           265

        12:00 PM            1      1        2        1        26         2         1         0         0       3      24         0            61
        12:15 PM            0      2        2        1        29         0         1         0         2       1      22         0            60
        12:30 PM            1      1        2        2        19         3         2         6         0       2      25         0            63
        12:45 PM            1      2        3        2        28         0         1         1         2       0      31         0            71
            Total           3      6        9        6       102         5         5         7         4       6     102         0           255

        01:00 PM            0      1        0        2        25         0         1         3         5       1      35         0            73
        01:15 PM            1      3        4        0        27         1         1         1         2       2      28         1            71
        01:30 PM            2      1        4        3        42         0         0         0         3       0      29         0            84
        01:45 PM            1      0        1        3        31         2         0         1         2       1      29         0            71
            Total           4      5        9        8       125         3         2         5        12       4     121         1           299

        02:00 PM            0      3        1        4        33         0         2         1         0       2      36         0            82
        02:15 PM            0      4        0        4        24         1         1         1         0       1      34         0            70
        02:30 PM            0      1        4        3        33         4         2         3         0       1      27         0            78
        02:45 PM            0      0        0        3        22         1         0         1         1       1      35         0            64
            Total           0      8        5       14       112         6         5         6         1       5     132         0           294

        03:00 PM            0      1        6        7        38         0         4         2         4       0      42         1           105
        03:15 PM            0      3        7        2        53         2         3         1         2       1      31         2           107
        03:30 PM            0      2        3        4        57         1         1         2         1       2      24         0            97
