                                                                 Intersection: NC 11 at SR 1143 (Liddell Road)
                                                                                   Count Number: 11-07076
                                                                                  NCDOT Division Number: 2
                                                                                              County: Lenoir
                                                                                              City: Deep Run
                                                                       12 Hour Count Volume: 6,650 vehicles

              Count Day & Date                     Count Time(s)                   Weather Conditions
          Thursday, October 13, 2011        6 AM ­ 9 AM / 10 AM ­ 7 PM                  Cloudy

  Counter: Jim Haggard
  Data Processor: Shannon Grubbs, EI
  Data Collection Method: Jamar Count Board (Unit # D4-4240)

  NOTES
  1) South Lenoir High School is located less than 1 mile from the
     studied intersection and was in session on the date of the count,
     as were all Lenoir County Schools.
  2) No pedestrians were observed.
  3) All approach grades are 0%.
  4) No highway construction was observed within a ¼ mile radius.
  5) Data collection equipment was operating correctly at time of
     count.
  6) The counter did not have any additional notes.
                                                                                                     VICINITY MAP




Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8743
                                                                 Intersection: NC 11 at SR 1143 (Liddell Road)
                                                                                   Count Number: 11-07076
                                                                                  NCDOT Division Number: 2
                                                                                              County: Lenoir
                                                                                              City: Deep Run
                                                                       12 Hour Count Volume: 6,650 vehicles


                              Intersection Leg Photographs ­ Facing Intersection




              NC Highway 11 ­ Southern Leg                              NC Highway 11 ­ Northern Leg




          SR 1143 (Liddell Road) ­ Western Leg                       SR 1143 (Liddell Road) ­ Eastern Leg




Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8743
                                                                 Intersection: NC 11 at SR 1143 (Liddell Road)
                                                                                   Count Number: 11-07076
                                                                                  NCDOT Division Number: 2
                                                                                              County: Lenoir
                                                                                              City: Deep Run
                                                                       12 Hour Count Volume: 6,650 vehicles


                               Intersection Leg Photographs ­ Facing Upstream




             NC Highway 11 ­ Southern Leg                               NC Highway 11 ­ Northern Leg




          SR 1143 (Liddell Road) ­ Western Leg                        SR 1143 (Liddell Road) ­ Eastern Leg




Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8743
                                                    Mekuria Engineering, Inc.
                                           Post Office Box 10505, Raleigh, North Carolina 27605
Counted By: Jim Haggard                                                                                                   File Name     : 11-07076
Weather Conditions: Cloudy                       phone: 919.833.8743 / fax: 919.833.1276                                  Site Code     : 01107076
NCDOT Division: 2                                                                                                         Start Date    : 10/13/2011
County: Lenoir                                                                                                            Page No       :1


                                              Groups Printed- Passenger Vehicles - Trucks (3+ Axles)
                         NC Highway 11           SR 1143 (Liddell Road)            NC Highway 11            SR 1143 (Liddell Road)
                            Southbound                  Westbound                     Northbound                  Eastbound
        Start Time    Right      Thru    Left     Right     Thru      Left     Right       Thru      Left   Right     Thru       Left     Int. Total
         06:00 AM        1         16      0          0         2        0          0        42        0       0         0         13            74
         06:15 AM        0         26      1          0         0        0          0        84        2       1         0         12           126
         06:30 AM        3         23      0          0         1        0          0        87        1       0         1          9           125
         06:45 AM        2         33      1          4         1        1          1        80        3       1         0         10           137
              Total      6         98      2          4         4        1          1       293        6       2         1         44           462

         07:00 AM        4      29         4         2         2         0         0        85         2       1         8         4           141
         07:15 AM        3      59        24         3         4         1         1        88         3       6        25        16           233
         07:30 AM        8      49        14         1        15         3         0       132         4       3        11        15           255
         07:45 AM        2      33         2         9         5         4         2        63         2       2        15        20           159
             Total      17     170        44        15        26         8         3       368        11      12        59        55           788

         08:00 AM        1      29         1         3         9         1         0        78         0       4         4         6           136
         08:15 AM        0      33         1         3         5         2         0        70         1       1         5         8           129
         08:30 AM        1      42         2         5         3         1         0        64         1       2         3         4           128
         08:45 AM        8      65         0         1         4         0         1        55         4       6         2         9           155
             Total      10     169         4        12        21         4         1       267         6      13        14        27           548

*** BREAK ***

         10:00 AM        4      28         1         0         6         0         0        38         3        2        3         6            91
         10:15 AM        3      38         2         5         1         0         0        34         0        2        0         4            89
         10:30 AM        4      41         2         5         0         1         1        47         1        1        3         7           113
         10:45 AM        2      38         1         3         3         0         1        31         2        2        0         5            88
             Total      13     145         6        13        10         1         2       150         6        7        6        22           381

         11:00 AM        1      31         1         2         5         1         1        44         4        2        1         5            98
         11:15 AM        7      41         4         0         4         1         0        45         3        1        3         3           112
         11:30 AM        4      36         2         5         2         0         1        47         3        0        6         6           112
         11:45 AM        8      32         0         2         4         2         1        41         0        1        4         2            97
             Total      20     140         7         9        15         4         3       177        10        4       14        16           419

         12:00 PM        7      39         1         4         5         0         0        48         5        2        2         5           118
         12:15 PM        3      47         2         2         2         0         2        48         2        0        2         2           112
         12:30 PM        5      37         0         3         7         0         0        39         2        2        3         3           101
         12:45 PM        4      47         1         1         3         1         1        45         3        1        0        12           119
             Total      19     170         4        10        17         1         3       180        12        5        7        22           450

         01:00 PM        6      57         1         2         1         0         0        47         2        2        2         5           125
         01:15 PM        5      57         0         2         3         0         0        43         1        1        4         5           121
         01:30 PM        7      50         1         1         5         0         0        42         1        0        7         1           115
         01:45 PM        3      48         5         2         4         0         0        45         0        3        1         8           119
             Total      21     212         7         7        13         0         0       177         4        6       14        19           480

         02:00 PM        4      63         3         2         6         1         0        43         2        3        6         3           136
         02:15 PM        4      59         2         2         2         1         2        39         5        0        5         3           124
         02:30 PM        6      57         2         5         6         2         2        37         2        1        7         1           128
         02:45 PM       12      78        13        10        21         4         0        38         4        0       11         4           195
             Total      26     257        20        19        35         8         4       157        13        4       29        11           583

         03:00 PM       11      78         8         7        14         2         0        36         3       3         8         5           175
         03:15 PM       11      78         8         7        14         2         0        36         3       3         8         5           175
