                                             CITY OF MCALLEN
                                           TRAFFIC OPERATIONS
                   `                       N. 29th St. & W. Iris Ave.


HOUR BOUND: NORTH         BOUND:   SOUTH                   BOUND:       EAST     BOUND:     WEST
  OF                                               Bi-                                                     Bi-
 DAY   START 08/20/04     START 08/20/04     directional   START      08/20/04   START      08/20/04   directional
       counter     Peek   counter     Peek      totals     counter      Peek     counter      Peek       totals
 TIME      Thru totals        Thru totals       NB+SB          Thru totals           Thru totals         EB+WB        All
 0:00          34                 45              79                5                    18                23        102
 1:00          13                 29              42                1                    17                18         60
 2:00          13                 21              34                1                    10                11         45
 3:00          10                  9              19                1                     1                2          21
 4:00           9                 12              21                3                     5                8          29
 5:00          11                 16              27                7                    11                18         45
 6:00          72                 70             142               20                    44                64        206
 7:00          390                401            791               142                   190              332        1123
 8:00          243                218            461               34                    81               115        576
 9:00          207                183            390               28                    77               105        495
 10:00         209                169            378               30                    57                87        465
 11:00         209                203            412               33                    66                99        511
 12:00         233                246            479               39                    100              139        618
 13:00         210                220            430               35                    95               130        560
 14:00         269                254            523               63                    115              178        701
 15:00         428                362            790               104                   139              243        1033
 16:00         467                338            805               60                    159              219        1024
 17:00         476                430            906               43                    190              233        1139
 18:00         390                369            759               65                    156              221        980
 19:00         358                275            633               45                    170              215        848
 20:00         325                247            572               42                    158              200        772
 21:00         251                169            420               30                    170              200        620
 22:00         134                130            264               31                    70               101        365
 23:00         87                 92             179               22                    41                63        242
TOTAL         5048               4508            9556              884                  2140              3024
TOTAL NB + SB    9556              TOTAL EB + WB            3024        GRAND TOTAL         12580

