                                                                 Chittenden County MPO
                                                                         30 Kimball Ave.
                                                                 South Burlington, Vermont 05403
Station ID: RICH19                                                   http://www.ccmpo.org/                                                     File Name      : rich19
Location: Jericho Rd. & School St.                                                                                                             Site Code      : 19
Town: Richmond, VT                                                                                                                             Start Date     : 6/9/2008
Counters: JW EP                                                                                                                                Page No        :1


                                                                        Groups Printed- Busses
                               Jericho Rd. (SB)                                 Jericho Rd. (NB)                          School St. (EB)
                                  From North                                       From South                               From West
         Start Time    Right    Thru          N/A   App. Total       Thru         Left         N/A   App. Total   Right    Left          N/A     App. Total     Int. Total
          07:00 AM         0        1           0            1          0            0           0            0       0       0            0              0              1
          07:15 AM         0        0           0            0          0            2           0            2       1       0            0              1              3
          07:30 AM         1        0           0            1          1            5           0            6       0       4            0              4            11
          07:45 AM         0        0           0            0          1            1           0            2       1       2            0              3              5
               Total       1        1           0            2          2            8           0          10        2       6            0              8            20

          08:00 AM        0        0           0            0           0           0           0            0       0       0            0              0              0
          08:15 AM        0        0           0            0           0           0           0            0       0       0            0              0              0
          08:30 AM        0        1           0            1           0           0           0            0       0       0            0              0              1
          08:45 AM        0        0           0            0           0           0           0            0       0       0            0              0              0
              Total       0        1           0            1           0           0           0            0       0       0            0              0              1

          02:00 PM        1        1           0            2           0           0           0            0       2       0            0              2              4
          02:15 PM        4        0           0            4           0           2           0            2       0       0            0              0              6
          02:30 PM        0        0           0            0           0           1           0            1       7       1            0              8              9
          02:45 PM        0        0           0            0           0           0           0            0       1       0            0              1              1
              Total       5        1           0            6           0           3           0            3      10       1            0             11             20

          03:00 PM        1        0           0            1           0           1           0            1       0       1            0              1              3
          03:15 PM        3        0           0            3           1           2           0            3       1       1            0              2              8
          03:30 PM        1        1           0            2           2           1           0            3       3       1            0              4              9
          03:45 PM        1        0           0            1           1           0           0            1       2       0            0              2              4
              Total       6        1           0            7           4           4           0            8       6       3            0              9             24

        Grand Total      12        4           0           16           6          15           0           21      18      10            0             28             65
          Apprch %       75       25           0                     28.6        71.4           0                 64.3    35.7            0
            Total %    18.5      6.2           0         24.6         9.2        23.1           0         32.3    27.7    15.4            0           43.1

