                                                                  Chittenden County MPO
                                                                          30 Kimball Ave.
                                                                  South Burlington, Vermont 05403
Station ID: RICH19                                                    http://www.ccmpo.org/                                                      File Name      : rich19
Location: Jericho Rd. & School St.                                                                                                               Site Code      : 19
Town: Richmond, VT                                                                                                                               Start Date     : 6/9/2008
Counters: JW EP                                                                                                                                  Page No        :1


                                                                          Groups Printed- Trucks
                               Jericho Rd. (SB)                                  Jericho Rd. (NB)                           School St. (EB)
                                  From North                                        From South                                From West
         Start Time    Right    Thru         Bikes   App. Total       Thru          Left       Bikes   App. Total   Right    Left        Bikes     App. Total     Int. Total
          07:00 AM         0        0            0            0          1            0            0            1       0       0            0              0              1
          07:15 AM         0        1            0            1          0            0            1            1       0       0            0              0              2
          07:30 AM         0        1            0            1          2            0            1            3       0       0            0              0              4
          07:45 AM         0        0            0            0          0            0            0            0       0       0            1              1              1
               Total       0        2            0            2          3            0            2            5       0       0            1              1              8

          08:00 AM        0        1            0            1           2            0           0            2       0       0            0              0              3
          08:15 AM        0        1            0            1           0            0           0            0       0       0            0              0              1
          08:30 AM        0        1            0            1           2            0           0            2       0       0            0              0              3
          08:45 AM        0        0            0            0           2            0           0            2       0       0            0              0              2
              Total       0        3            0            3           6            0           0            6       0       0            0              0              9

          02:00 PM        0        1            0            1           1            0           0            1       0       0            0              0              2
          02:15 PM        0        0            0            0           0            0           0            0       0       0            0              0              0
          02:30 PM        0        2            0            2           1            0           0            1       0       0            0              0              3
          02:45 PM        0        1            0            1           0            0           0            0       0       0            0              0              1
              Total       0        4            0            4           2            0           0            2       0       0            0              0              6

          03:00 PM        0        0            1            1           0            0           0            0       0       0            0              0              1
          03:15 PM        0        0            0            0           1            0           0            1       0       0            0              0              1
          03:30 PM        0        1            0            1           1            0           0            1       0       0            0              0              2
          03:45 PM        0        0            0            0           0            0           0            0       1       0            0              1              1
              Total       0        1            1            2           2            0           0            2       1       0            0              1              5

        Grand Total       0       10            1           11          13            0           2           15        1      0            1              2             28
          Apprch %        0     90.9          9.1                     86.7            0        13.3                    50      0           50
            Total %       0     35.7          3.6         39.3        46.4            0         7.1         53.6      3.6      0          3.6             7.1

