                                                                                                   Town of Cary
                                                                                            316 N. Academy St.                                                             Count Name: NC 55 at Parkscene Ln_Catlin Rd
                                                                                              P.O. Box 8005                                                                Site Code:
                                                                                 Cary, North Carolina, United States 27513                                                 Start Date: 09/15/2011
                                                                                               919.469.4030                                                                Page No: 1



                                                                                       Turning Movement Data
                               NC 55                                          Parkscene Ln                                         NC 55                                              Catlin Rd
                             Southbound                                        Westbound                                         Northbound                                           Eastbound
Start Time
               Left   Thru     Right      U-Turn   App. Total   Left   Thru      Right       U-Turn   App. Total   Left   Thru     Right      U-Turn   App. Total   Left       Thru     Right     U-Turn   App. Total   Int. Total
 12:00 AM       0     27         2          0         29         0      0          0           0          0         0      21        0          0         21         0          0        0          0          0           50
 12:15 AM       1     29         0          0         30         0      0          0           0          0         1      17        0          0         18         0          0        0          0          0           48
 12:30 AM       1     13         0          0         14         0      0          0           0          0         0      16        1          0         17         1          0        0          0          1           32
 12:45 AM       0     11         0          1         12         0      0          0           0          0         0      11        0          0         11         0          0        0          0          0           23
Hourly Total    2     80         2          1         85         0      0          0           0          0         1      65        1          0         67         1          0        0          0          1          153
 1:00 AM        0     10         0          0         10         0      0          0           0          0         0      10        0          0         10         0          0        0          0          0           20
 1:15 AM        0     16         0          0         16         0      0          0           0          0         0      13        0          0         13         0          0        0          0          0           29
 1:30 AM        0     15         0          0         15         0      0          0           0          0         0      9         0          0          9         0          0        0          0          0           24
 1:45 AM        0      4         0          0          4         0      0          0           0          0         0      2         0          0          2         0          0        0          0          0            6
Hourly Total    0     45         0          0         45         0      0          0           0          0         0      34        0          0         34         0          0        0          0          0           79
 2:00 AM        0      7         0          0          7         0      0          0           0          0         1      7         0          0          8         0          0        0          0          0           15
 2:15 AM        0      5         0          0          5         0      0          0           0          0         0      5         0          0          5         0          0        0          0          0           10
 2:30 AM        0      8         0          0          8         0      0          0           0          0         0      5         0          0          5         0          0        0          0          0           13
 2:45 AM        1      4         0          0          5         0      0          0           0          0         0      10        0          0         10         0          0        0          0          0           15
Hourly Total    1     24         0          0         25         0      0          0           0          0         1      27        0          0         28         0          0        0          0          0           53
 3:00 AM        0      8         0          0          8         0      0          0           0          0         0      5         0          0          5         0          0        0          0          0           13
 3:15 AM        0      8         0          0          8         0      0          0           0          0         0      10        0          0         10         0          0        0          0          0           18
 3:30 AM        0     11         0          0         11         0      0          0           0          0         0      13        0          0         13         0          0        0          0          0           24
 3:45 AM        0     11         0          0         11         0      0          0           0          0         0      16        0          0         16         0          0        0          0          0           27
Hourly Total    0     38         0          0         38         0      0          0           0          0         0      44        0          0         44         0          0        0          0          0           82
 4:00 AM        0      4         0          0          4         0      0          0           0          0         0      20        0          0         20         0          0        0          0          0           24
 4:15 AM        0      9         0          0          9         0      0          0           0          0         0      19        0          0         19         0          0        0          0          0           28
 4:30 AM        0     10         0          0         10         0      0          0           0          0         1      30        0          0         31         1          0        0          0          1           42
 4:45 AM        0     20         0          0         20         0      0          1           0          1         0      28        0          0         28         0          0        0          0          0           49
Hourly Total    0     43         0          0         43         0      0          1           0          1         1      97        0          0         98         1          0        0          0          1          143
 5:00 AM        0     31         0          0         31         1      0          0           0          1         0      39        0          0         39         1          0        0          0          1           72
 5:15 AM        0     27         0          0         27         0      0          0           0          0         0      75        0          0         75         0          0        0          0          0          102
 5:30 AM        0     47         0          0         47         1      0          0           0          1         1      88        0          0         89         1          0        0          0          1          138
 5:45 AM        0     62         0          0         62         1      0          1           0          2         0     111        0          0         111        2          0        0          0          2          177
Hourly Total    0     167        0          0         167        3      0          1           0          4         1     313        0          0         314        4          0        0          0          4          489
 6:00 AM        1     68         2          0         71         0      0          0           0          0         0     140        0          0         140        0          0        2          0          2          213
 6:15 AM        1     89         1          0         91         1      0          2           0          3         0     217        1          0         218        3          0        2          0          5          317
 6:30 AM        1     105        1          0         107        2      0          7           0          9         1     350        1          0         352        6          0        2          0          8          476
 6:45 AM        0     151        2          0         153        4      0          5           0          9         0     396        0          0         396        7          0        4          0         11          569
Hourly Total    3     413        6          0         422        7      0         14           0         21         1     1103       2          0        1106       16          0        10         0         26          1575
 7:00 AM        1     163        0          0         164        3      0          5           0          8         3     427        0          0         430        0          0        3          0          3          605
 7:15 AM        0     221        2          0         223        4      0         13           0         17         1     529        1          0         531        1          0        3          0          4          775
 7:30 AM       3    231    0    0   234    4    0   15   0   19   0    574    2    0   576    0    0   3    0   3    832
 7:45 AM       1    238    2    0   241    1    0   9    0   10   0    531    4    0   535    0    0   0    0   0    786
Hourly Total   5    853    4    0   862    12   0   42   0   54   4    2061   7    0   2072   1    0   9    0   10   2998
 8:00 AM       2    190    0    0   192    5    0   12   0   17   1    479    0    0   480    1    1   1    0   3    692
 8:15 AM       1    221    2    0   224    0    0   13   0   13   0    443    3    0   446    5    0   2    0   7    690
 8:30 AM       1    284    0    0   285    5    0   18   0   23   2    482    2    0   486    3    0   4    0   7    801
 8:45 AM       2    248    0    0   250    5    0   4    0   9    2    415    6    0   423    14   0   5    0   19   701
Hourly Total   6    943    2    0   951    15   0   47   0   62   5    1819   11   0   1835   23   1   12   0   36   2884
 9:00 AM       3    246    1    0   250    4    0   6    0   10   0    344    1    0   345    0    0   3    0   3    608
 9:15 AM       0    195    1    0   196    2    0   7    0   9    1    336    3    1   341    7    0   2    0   9    555
 9:30 AM       2    240    6    1   249    1    0   8    0   9    0    281    5    0   286    2    0   0    0   2    546
 9:45 AM       2    243    0    0   245    4    0   5    0   9    2    268    3    0   273    4    0   2    0   6    533
Hourly Total   7    924    8    1   940    11   0   26   0   37   3    1229   12   1   1245   13   0   7    0   20   2242
 10:00 AM      3    201    0    0   204    1    0   8    0   9    0    230    3    0   233    3    0   1    0   4    450
 10:15 AM      0    210    0    1   211    3    0   5    0   8    0    223    4    0   227    0    0   0    0   0    446
 10:30 AM      1    196    1    0   198    4    0   4    0   8    1    212    3    0   216    2    0   1    0   3    425
 10:45 AM      2    230    0    0   232    3    0   2    0   5    1    219    3    0   223    0    0   1    0   1    461
Hourly Total   6    837    1    1   845    11   0   19   0   30   2    884    13   0   899    5    0   3    0   8    1782
 11:00 AM      0    212    1    0   213    3    0   4    0   7    0    239    3    0   242    2    0   1    0   3    465
 11:15 AM      3    250    5    0   258    3    0   1    0   4    1    202    5    1   209    2    0   0    0   2    473
 11:30 AM      5    216    4    0   225    2    0   3    0   5    1    243    4    0   248    1    0   2    0   3    481
