                                                   CITY OF MCALLEN
                                               TRAFFIC OPERATIONS
                     `                     S. Taylor Rd. & W. Uvalde Ave.


HOUR BOUND: NORTH            BOUND:    SOUTH                     BOUND:     EAST       BOUND:      WEST
   OF                                                  Bi-                                                        Bi-
 DAY   START      08/29/05   START      08/29/05   directional   START      08/29/05   START       08/29/05   directional
       counter     TMWIN     counter     TMWIN       totals      counter     TMWIN     counter     TMWIN        totals
 TIME      Thru totals           Thru totals         NB+SB           Thru totals           Thru totals          EB+WB       All
  0:00          0                     1                1                 15                     1                 16         17
  1:00          0                     0                0                 10                     3                 13         13
  2:00          0                     6                6                  2                     4                 6          12
  3:00          0                     1                1                 13                     5                 18         19
  4:00          0                     0                0                  5                     4                 9          9
  5:00          16                    2                18                11                     13                24         42
  6:00          15                    3                18                79                    170               249        267
  7:00          4                     9                13                51                    192               243        256
  8:00          22                    10               32                41                     52                93        125
  9:00          12                    14               26                64                     54               118        144
 10:00          23                    14               37                60                     66               126        163
 11:00          11                    13               24                90                     80               170        194
 12:00          4                     4                8                 117                    62               179        187
 13:00          10                    16               26                95                     74               169        195
 14:00          4                     11               15                126                   193               319        334
 15:00          46                    14               60                110                    85               195        255
 16:00          26                    22               48                124                    98               222        270
 17:00          16                    14               30                138                    60               198        228
 18:00          8                     10               18                157                    84               241        259
 19:00          2                     14               16                132                    64               196        212
 20:00          0                     20               20                216                    62               278        298
 21:00          0                     2                2                 112                    46               158        160
 22:00          8                     1                9                 136                    22               158        167
 23:00          0                     1                1                 131                    6                137        138
TOTAL          227                   202              429               2035                  1500               3535
TOTAL NB + SB       429               TOTAL EB + WB               3535        GRAND TOTAL           3964

