                                                CITY OF MCALLEN
                                             TRAFFIC OPERATIONS
                   `                       N. 23rd St. & W. Dove Ave.


HOUR BOUND:     NORTH      BOUND:   SOUTH           Bi-       BOUND:    EAST      BOUND:   WEST           Bi-
 OF
 DAY START      10/25/04   START     10/25/04   directional   START    10/25/04   START    10/25/04   directional
       counter    ADA      counter    ADA         totals      counter     ADA     counter     ADA       totals
 TIME     Thru totals         Thru totals         NB+SB          Thru totals         Thru totals        EB+WB
 0:00         172                 116               288               27                129               156
 1:00          91                  52               143               14                100               114
 2:00          83                  50               133               7                  84                91
 3:00          54                  37               91                15                 36                51
 4:00          41                  54               95                33                 31                64
 5:00          82                 138               220               48                 76               124
 6:00         196                 377               573              187                175               362
 7:00         656                1209              1865              621                687              1308
 8:00         945                 910              1855              451                562              1013
 9:00         770                 756              1526              303                557               860
 10:00        789                 701              1490              237                561               798
 11:00        901                 745              1646              278                669               947
 12:00        979                 753              1732              293                749              1042
 13:00        985                 810              1795              264                734               998
 14:00        996                 758              1754              254                781              1035
 15:00       1188                 888              2076              340                971              1311
 16:00       1423                 967              2390              403                1032             1435
 17:00       1503                 974              2477              408                1501             1909
 18:00       1146                1006              2152              366                1037             1403
 19:00        907                 779              1686              285                771              1056
 20:00        685                 589              1274              198                584               782
 21:00        684                 477              1161              174                508               682
 22:00        768                 367              1135              148                404               552
 23:00        513                 323               836              126                329               455
TOTAL        16557               13836             30393            5480               13068             18548
TOTAL NB + SB    30393              TOTAL EB + WB             18548      GRAND TOTAL        48941

