                                                   CITY OF MCALLEN
                                                TRAFFIC OPERATIONS
                     `                         N. 4th St. & W. Fern Ave.


HOUR BOUND: NORTH            BOUND:    SOUTH                     BOUND:     EAST       BOUND:      WEST
                                                       Bi-                                                        Bi-
  OF
 DAY   START      07/25/05   START      07/25/05   directional   START      07/25/05   START       07/25/05   directional
       counter    TMWIN      counter    TMWIN        totals      counter     TMWIN     counter     TMWIN        totals
 TIME      Thru totals           Thru totals         NB+SB           Thru totals           Thru totals          EB+WB       All
 0:00           4                     7                11                 8                     0                  8        19
 1:00           9                    11                20                 8                     2                 10        30
 2:00           2                     4                 6                 8                     3                  11       17
 3:00           2                     6                 8                 7                     2                  9        17
 4:00           3                     5                 8                 4                     1                  5        13
 5:00          15                    15                30                12                     3                 15        45
 6:00          42                    38                80                32                     4                 36        116
 7:00          60                    43                103               44                     8                 52        155
 8:00          77                    48                125               66                     8                 74        199
 9:00          63                    54                117               68                     8                 76        193
 10:00         60                    92                152               80                     8                 88        240
 11:00         100                   78                178               103                   14                 117       295
 12:00         64                    72                136               101                   12                 113       249
 13:00         72                    64                136               85                    12                 97        233
 14:00         60                    84                144               90                    17                 107       251
 15:00         52                    108               160               93                     9                 102       262
 16:00         102                   123               225               110                   26                 136       361
 17:00         79                    84                163               86                    31                 117       280
 18:00         70                    53                123               70                    14                 84        207
 19:00         60                    52                112               68                     6                 74        186
 20:00         56                    35                91                54                     7                 61        152
 21:00         46                    36                82                46                    10                 56        138
 22:00         30                    23                53                37                     1                 38        91
 23:00         17                    13                30                16                     0                 16        46
TOTAL         1145                  1148              2293              1296                   206               1502
TOTAL NB + SB      2293               TOTAL EB + WB               1502        GRAND TOTAL           3795

