                                                CITY OF MCALLEN
                                            TRAFFIC OPERATIONS
                    `                    N. 23rd St. & W. Nolana Ave.


HOUR BOUND:     NORTH      BOUND:   SOUTH           Bi-       BOUND:    EAST      BOUND:    WEST          Bi-
 OF
 DAY START      10/01/04   START     10/01/04   directional   START    10/01/04   START    10/01/04   directional
       counter     ADA     counter    ADA         totals      counter      ADA    counter     ADA       totals
 TIME     Thru totals         Thru totals         NB+SB           Thru totals        Thru totals        EB+WB
 0:00          95                 123               218               78                438               516
 1:00          38                  56               94                34                355               389
 2:00          40                  74               114               33                362               395
 3:00          28                  41               69                20                144               164
 4:00          36                  48               84                22                 75                97
 5:00          83                 151               234               86                 95               181
 6:00         226                 400               626              220                133               353
 7:00         627                1342              1969              797                262              1059
 8:00         705                1132              1837              803                572              1375
 9:00         556                 953              1509              584                785              1369
 10:00        567                 843              1410              509                999              1508
 11:00        692                 958              1650              566                1184             1750
 12:00        811                1069              1880              599                1252             1851
 13:00        762                 966              1728              570                1255             1825
 14:00        760                 972              1732              530                1272             1802
 15:00        822                1139              1961              707                1191             1898
 16:00        897                1075              1972              757                1131             1888
 17:00        934                1207              2141              748                1115             1863
 18:00        838                1107              1945              585                1096             1681
 19:00        835                 892              1727              549                1057             1606
 20:00        772                 736              1508              435                994              1429
 21:00        589                 540              1129              365                944              1309
 22:00        414                 409               823              288                874              1162
 23:00        223                 295               518              222                704               926
TOTAL        12350               16528             28878            10107              18289             28396
TOTAL NB + SB     28878             TOTAL EB + WB              28396       GRAND TOTAL       57274

