                                               CITY OF MCALLEN
                                           TRAFFIC OPERATIONS
                   `                    N. McColl Rd. & W. Fern Ave.


HOUR BOUND:     NORTH      BOUND:   SOUTH           Bi-      BOUND:    EAST       BOUND:   WEST           Bi-
 OF
 DAY START      03/28/05   START    03/28/05   directional   START     03/28/05   START    03/28/05   directional
       counter     ADA     counter    ADA        totals      counter      ADA     counter     ADA       totals
 TIME      Thru totals        Thru totals        NB+SB           Thru totals         Thru totals        EB+WB
  0:00          35                 14               49                17                  88              105
  1:00          22                 13               35                14                  49               63
  2:00          37                 16               53                14                  12               26
  3:00          9                  6                15                9                   7                16
  4:00          11                 7                18                4                   8                12
  5:00          24                 13               37                10                  13               23
  6:00          47                 74              121                10                  38               48
  7:00         330                348              678                52                138               190
  8:00         569                396              965                85                123               208
  9:00         406                366              772                74                101               175
 10:00         450                384              834                76                  88              164
 11:00         324                402              726                72                120               192
 12:00         356                394              750                86                  97              183
 13:00         410                388              798               102                137               239
 14:00         334                388              722                94                112               206
 15:00         386                480              866                86                104               190
 16:00         420                406              826                70                154               224
 17:00         429                417              846                92                168               260
 18:00         240                233              473                76                138               214
 19:00         159                128              287                71                  89              160
 20:00         106                118              224                56                  94              150
 21:00          68                 58              126                49                  56              105
 22:00          84                 42              126                37                  59               96
 23:00          19                 28               47                32                  50               82
TOTAL        5275                5119             10394            1288                 2043             3331
TOTAL NB + SB    10394              TOTAL EB + WB             3331       GRAND TOTAL        13725

