 ID   NAME                    SEGMENT                                                            AADT     YEAR   LEN         LOCATION

423   ACADEMY ST              MAIN ST-FRONT ST                                                    1,880   2010   0.11    Owego (village)

330   AFRICAN RD              LYNNHURST DR-NY434                                                  2,450   2008   0.37             Vestal

331   AFRICAN RD              NY434-OLD VESTAL RD                                                 5,600   2010   0.21             Vestal

  1   AIRPORT RD              "TD LINE"-LEWIS RD                                                  7,930   2009   1.32              Union

  2   AIRPORT RD              "TU LINE"-CR 89 (UPPER STELLA IRELAND RD)                           4,220   2006   0.87              Maine

  3   AIRPORT RD              COMMERCIAL DR-KNAPP RD                                              2,650   2009   1.29              Maine

  4   AIRPORT RD              CR 89 (UPPER STELLA IRELAND RD)-COMMERCIAL RD                       3,620   2003   2.32              Maine

  5   AIRPORT RD              KNAPP RD-LOOP                                                       1,650   2010   0.77              Maine

  6   AIRPORT RD              LEWIS RD-"TU LINE"                                                  5,260   2007   0.30              Union

  7   AIRPORT RD              North bndry of NYS 17(0.1 north of NYS 17 WB off-ramp)-"TD LINE"    7,310   2009   0.94          Dickinson

  8   AIRPORT RD - CHENANGO   KATTELVILLE RD-RIVER RD                                             1,640   2010   1.71         Chenango

  9   ARBUTUS RD              E. MAIN RD-AIRPORT RD                                               1,110   1999   0.42              Maine

397   ARCH ST                 MAIN ST-CORLISS AVE                                                 2,260   2010   0.17       Johnson City

398   ARCH ST                 NORTH BROAD ST-MAIN ST                                              5,200   2008   0.20       Johnson City

332   ARLINGTON AVE           OWEGO RD-NYS 434                                                    1,880   2010   0.09             Vestal

399   BALDWIN ST              NY17C-FLORAL AVE                                                    4,790   2009   0.55       Johnson City

 10   BARLOW RD               COLESVILLE RD-LOUGHLIN RD                                           3,200   2010   0.62           Kirkwood

130   BEETHOVEN ST            LEROY ST-MAIN ST                                                    2,390   2011   0.67   Binghamton (city)

131   BEETHOVEN ST            RIVERSIDE DR-LEROY ST                                               3,390   2011   0.21   Binghamton (city)

 11   BEVIER ST               "CB LINE"-BIGELOW ST                                                 720    1999   0.06          Dickinson

 12   BEVIER ST               BIGELOW ST-"TD LINE"                                                 880    2009   0.35          Dickinson

 13   BEVIER ST               FRONT ST-"CB LINE"                                                 10,040   2003   0.07          Dickinson

132   BEVIER ST               "CB LINE"-CHENANGO ST                                              10,040   2003   0.12   Binghamton (city)

133   BEVIER ST               BROAD ST-MOELLER ST                                                 2,500   2011   0.05   Binghamton (city)

134   BEVIER ST               BROWNSON ST-NYS 7NB ON RAMP                                         4,500   2006   0.24   Binghamton (city)

135   BEVIER ST               CHENANGO ST-BROWNSON ST                                             4,800   2010   0.12   Binghamton (city)

136   BEVIER ST               MOELLER ST-"CB LINE" (near Gaylord St)                              3,420   2003   0.35   Binghamton (city)

137   BEVIER ST               NYS 7NB ON RAMP-BROAD ST                                            8,700   2004   0.25   Binghamton (city)

446   BEVIER ST               "TD LINE" - KRAGER RD                                                880    2009   0.34           Kirkwood

138   BIGELOW ST              COURT ST-ROBINSON ST                                                 990    2011   0.24   Binghamton (city)

139   BIGELOW ST              FRENCH CT-WHITING ST                                                1,620   2011   0.10   Binghamton (city)

140   BIGELOW ST              ROBINSON ST-FRENCH CT                                               1,620   2011   0.37   Binghamton (city)

141   BIGELOW ST              WHITING ST-"CB LINE"                                                1,620   2011   0.02   Binghamton (city)

288   BIGELOW ST              "CB LINE"-BEVIER ST                                                 1,620   2011   0.06          Dickinson

274   BODLE HILL RD.          DAY HOLLOW RD.-BARNES CREEK RD.                                     4,320   2009   1.27      Owego (town)

309   BOSWELL HILL RD         MAPLE DR-PINE VALLEY CAMP                                            270    2011   1.39              Union

310   BOSWELL HILL RD         PINE VALLEY CAMP-DAY HOLLOW RD                                      2,100   2010   2.00              Union

311   BRADLEY CREEK RD        NANTICOKE DR-"TU LINE"                                              1,120   2008   0.56              Union

142   BROAD AVE               BEVIER ST-EAST FREDERICK ST                                         9,160   1992   0.56   Binghamton (city)

143   BROAD AVE               EAST FREDERICK ST-ROBINSON ST                                       6,690   2011   0.28   Binghamton (city)

144   BROAD AVE               ROBINSON ST-COURT ST                                                4,810   2003   0.24   Binghamton (city)

 14   BROOME PKWY             LANE CHANGE-POWERS RD                                               1,890   2010   1.75            Conklin

 15   BROOME PKWY             NYS 7-LANE CHANGE                                                   1,640   2011   0.40            Conklin

312   BUFFALO ST              TAFT AVE-PRESCOTT AVE                                               1,150   2008   0.80              Union

 16   BUNN HILL RD            FULLER HOLLOW RD-UNIVERSITY CT                                      1,410   1999   1.12             Vestal

 17   BUNN HILL RD            SHEEDY RD.-FULLER HOLLOW RD.                                        1,250   2008   1.65             Vestal

 18   BUNN HILL RD            UNIVERSITY CT-NYS 434                                               8,920   1999   0.89             Vestal

333   BUNN HILL RD            NY434-OLD VESTAL RD                                                 4,000   2009   0.09             Vestal

400   BURBANK AVE             FLORAL AVE-GREENRIDGE ST                                            1,830   2010   0.33       Johnson City

401   BURBANK AVE             GRAND AVE-FLORAL AVE                                                1,700   2009   0.14       Johnson City
 ID   NAME                    SEGMENT                                               AADT     YEAR   LEN         LOCATION

402   BURBANK AVE             GREENRIDGE ST-RIVERSIDE DR                             1,450   2011   0.33       Johnson City

145   BURR AVE                "CB LINE"-CONKLIN AVE                                  4,270   2001   0.45   Binghamton (city)

313   CARL ST                 NYS 26-GLENDALE DR                                     4,020   2010   0.24              Union

146   CARROLL ST              COURT ST-HAWLEY ST                                     1,890   2010   0.12   Binghamton (city)

147   CARROLL ST              HAWLEY ST-SUSQUEHANNA ST                               3,400   2009   0.12   Binghamton (city)

148   CARROLL ST              HENRY ST-COURT ST                                      5,160   1989   0.12   Binghamton (city)

149   CARROLL ST              SUSQUEHANNA ST-CARROLL ST RAMP                         1,580   1999   0.06   Binghamton (city)

150   CARROLL ST RAMP         CARROLL ST-NYS 363                                     1,580   1999   0.05   Binghamton (city)

297   CEDARHURST RD           I 81 SB ON-RAMP - I 81 NB ON-RAMP                      4,120   2009   0.11           Kirkwood

403   CFJ BLVD                AIRPORT RD-LESTER AVE                                  5,900   2008   0.24       Johnson City

 19   CHENANGO ST             (N END) E ARTERIAL HWY- N. "VPD LINE"                  5,380   2010   1.27             Fenton

151   CHENANGO ST             DOUBLEDAY ST-ELDREDGE ST                               5,180   2008   0.08   Binghamton (city)

152   CHENANGO ST             ELDRIDGE ST-LEWIS ST                                   5,180   2008   0.18   Binghamton (city)

153   CHENANGO ST             HENRY ST-COURT ST                                      3,160   2009   0.17   Binghamton (city)

154   CHENANGO ST             LEWIS ST-HENRY ST                                      4,570   2004   0.18   Binghamton (city)

155   CHENANGO ST             LYON ST-ROBINSON ST                                    6,290   2002   0.08   Binghamton (city)

156   CHENANGO ST             ROBINSON ST-DOUBLEDAY ST                               5,180   2008   0.11   Binghamton (city)

157   CHENANGO ST             WEST STATE ST (@ Binghamton Plaza) -LYON ST            6,290   2002   0.12   Binghamton (city)

158   CHENANGO ST             "CB LINE"-BEVIER ST                                    5,250   1999   0.57   Binghamton (city)

159   CHENANGO ST             BEVIER ST-WEST STATE ST (@ Irving Ave.)                6,070   2009   0.52   Binghamton (city)

437   CHENANGO ST             E. ARTERIAL HWY. - W. ARTERIAL HWY.                    4,220   2010   0.11     Port Dickinson

438   CHENANGO ST             N. "VPD LINE"-E ARTERIAL HWY(just after Beacon St.)    5,380   1999   0.09     Port Dickinson

291   CHENANGO ST CROSSING    W. ARTERIAL HWY. - E. ARTERIAL HWY.                    4,030   2010   0.03             Fenton

290   CHENANGO ST EXTENSION   CHENANGO ST-END                                         100    2007   0.23             Fenton

355   CLARK ST                ROBBLE AVE-OAK HILL AVE                                8,000   2007   0.22            Endicott

160   CLIFTON BLVD            FULLER HOLLOW RD-JUTLAND RD                            1,000   2009   0.05   Binghamton (city)

161   CLINTON ST              EAST CLINTON ST-MYGATT ST                              9,920   2011   0.30   Binghamton (city)

162   CLINTON ST              JARVIS ST-GLENWOOD AVE                                 9,840   2007   0.55   Binghamton (city)

163   CLINTON ST              MYGATT ST-JARVIS ST                                   11,000   2008   0.37   Binghamton (city)

 20   COLESVILLE RD           CORPORATE DR-FOX HOLLOW RD                             2,170   2010   1.37           Kirkwood

 21   COLESVILLE RD           CR 177-IND PARK S ENT                                 12,080   2010   0.13           Kirkwood

 23   COLESVILLE RD           IND PARK N ENT-CORPORATE DR                           10,850   2010   0.17           Kirkwood

 24   COLESVILLE RD           IND PARK S ENT-IND PARK N ENT                         12,760   2010   0.29           Kirkwood

 25   COLESVILLE RD           US 11-CR 177                                          10,860   2010   0.10           Kirkwood

 26   COLESVILLE RD EXT       "TK LINE"-NYS 7                                        8,110   2007   0.30            Conklin

 27   COLESVILLE RD EXT       CR 52 (COLESVILLE RD)-"TK LINE"                        8,110   2007   0.51           Kirkwood

 22   COLESVILLE RD.          FOX HOLLOW RD.-"TK LINE"                               1,210   2010   1.69           Kirkwood

 28   COMMERCIAL DR           AIRPORT RD-WEST CHENANGO RD                            1,410   2010   1.38              Maine

 29   COMMERCIAL DR           EAST MAIN RD-AIRPORT RD                                2,380   2010   0.30              Maine

164   CONKLIN AVE             EXCHANGE ST-HIGH ST                                   10,910   2002   0.10   Binghamton (city)

165   CONKLIN AVE             HIGH ST-TELEGRAPH ST                                  10,910   2002   0.22   Binghamton (city)

166   CONKLIN AVE             JOHN ST-TOMPKINS ST                                   11,080   2003   0.33   Binghamton (city)

167   CONKLIN AVE             S WASHINGTON ST-EXCHANGE ST                            9,730   1999   0.39   Binghamton (city)

168   CONKLIN AVE             TELEGRAPH ST-JOHN ST                                  11,080   2003   0.09   Binghamton (city)

 30   CONKLIN FORKS RD        CALABRISI RD(EAST END)-SCHOFIELD RD                    1,090   2011   0.53            Conklin

 32   CONKLIN FORKS RD        SR 7(CONKLIN RD)-CALABRISI RD(EAST END)                1,090   2011   0.66            Conklin

 31   CONKLIN FORKS RD.       SCHOFIELD RD-MURPHY RD                                  880    2008   0.77            Conklin

 33   CONKLIN/KIRKWOOD BR     "TK LINE"-NYS 7                                        8,180   2008   0.21            Conklin

 34   CONKLIN/KIRKWOOD BR     CEDARHURST RD (I 81 SB ON-RAMP)-"TK LINE"              8,180   2008   0.62           Kirkwood

404   CORLISS AVE             WEST ST-WILLOW ST                                      1,420   2008   0.66       Johnson City
 ID   NAME                           SEGMENT                                AADT     YEAR   LEN          LOCATION

298   CORPORATE DR                   COLESVILLE RD-I81 ON RAMP               6,130   1999   0.24            Kirkwood

299   CORPORATE DR                   I81 ON RAMP-TURNAROUND                  1,490   2010   0.85            Kirkwood

314   COUNTRY CLUB RD                HOOPER RD-HAYES AVE                     6,680   2008   1.09               Union

315   COUNTRY CLUB RD                ROBINSON HILL RD-HOOPER RD              6,680   2008   0.52               Union

316   COUNTRY CLUB RD                WATSON BLVD-ROBINSON HILL RD            4,570   1999   0.53               Union

265   CROYDON RD                     MILL RD(PT 2)-PAVT CH                    650    2008   0.07   Binghamton (town)

266   CROYDON RD                     PAVT CH-MILL RD(PT 1)                    650    2008   0.40   Binghamton (town)

300   DAVIS RD                       TAYLOR RD-LISLE RD                      1,070   2010   0.52       Owego (town)

 35   DAY HOLLOW RD                  "TU LINE"-BOSWELL HILL RD.              3,710   2007   1.36               Union

 36   DAY HOLLOW RD                  BOSWELL HILL RD-NYS 26                  6,690   2010   0.93               Union

275   DAY HOLLOW RD.                 "TU LINE"-FOSTER RD.                    2,950   2004   2.20       Owego (town)

276   DAY HOLLOW RD.                 BODLE HILL RD.-NYS 17C                  1,650   2009   1.50       Owego (town)

277   DAY HOLLOW RD.                 FOSTER RD-POWELL RD                     2,950   2004   0.80       Owego (town)

278   DAY HOLLOW RD.                 POWELL RD-BODLE HILL RD                 2,950   2004   1.64       Owego (town)

 37   DOWNS AVE                      MARKET ST-PROSPECT ST                  11,300   2010   0.08           Dickinson

405   E THOMAS ST                    NY201-RIVERSIDE DR                      4,500   2010   0.03        Johnson City

292   E. ARTERIAL HWY./E. SRVC. RD   "VPD LINE"(North border)-LANE CHANGE     300    2009   0.43              Fenton

293   E. ARTERIAL HWY./E. SRVC. RD   LANE CHANGE-CHENANGO ST(North end)       300    2007   0.87              Fenton

439   E. ARTERIAL HWY./E. SRVC. RD   CHENANGO ST-"VPD LINE"(North border)     480    2010   0.07      Port Dickinson

294   E. ARTERIAL HWY./TOW PATH RD   NYS 12A - I 88 ON RAMP                  3,620   2010   0.26              Fenton

424   E. DIVISION ST                 EAST MAIN ST-EAST FRONT ST              2,100   2010   0.07      Owego (village)

356   E.FRANKLIN ST                  LIBERTY AVE-PAVEMENT CH                 8,860   2008   0.23             Endicott

357   E.FRANKLIN ST                  NANTICOKE AVE-LIBERTY AVE               8,860   1999   0.07             Endicott

358   E.FRANKLIN ST                  PAVEMENT CH-ROBBLE AVE                  8,860   2008   0.52             Endicott

427   EAST AVE                       ERIE ST- NORTH AVE                      6,810   2010   0.05      Owego (village)

169   EAST CLINTON ST                FRONT ST-CLINTON ST                     9,920   2011   0.07    Binghamton (city)

170   EAST CLINTON ST                WASHINGTON ST-WATER ST                  1,300   2009   0.05    Binghamton (city)

171   EAST CLINTON ST                WATER ST-FRONT ST                      12,640   2008   0.15    Binghamton (city)

425   EAST FRONT ST                  "VO LINE"-FRONT ST                      2,890   2010   0.44      Owego (village)

426   EAST MAIN ST                   JOHN ST-E. DIVISION ST                  2,640   2010   0.49      Owego (village)

 38   EAST MAINE RD                  "TU LINE"-OAKDALE RD                    1,530   1999   1.36               Maine

 39   EAST MAINE RD                  AIRPORT RD-REYNOLDS RD                  1,560   1999   1.46               Union

 40   EAST MAINE RD                  COMMERCIAL DR-POLLARD HILL RD           3,420   2010   0.38               Maine

 41   EAST MAINE RD                  FARM-TO-MARKET RD - COMMERCIAL DR       3,420   2010   0.11               Maine

 42   EAST MAINE RD                  OAKDALE RD-FARM-TO-MARKET RD            2,310   2010   1.37               Maine

 43   EAST MAINE RD                  POLLARD HILL RD-ARBUTUS RD              3,420   2010   0.58               Maine

 44   EAST MAINE RD                  REYNOLDS RD-"TU LINE"                   1,530   1999   0.43               Union
