                                                                 Wenatchee Valley Transportation Council                                 Count Name: South Mission Avenue / Marr
                                                                            1350 McKittrick St                                           Street
                                                                                 Suite B                                                 Site Code:
                                                                Wenatchee, Washington, United States 98801                               Start Date: 07/31/2013
                                                                       509.663.9059 nick@wvtc.org                                        Page No: 1



                                                                    Turning Movement Data
                      Southbound Approach                                           Westbound Approach                              Northbound Approach
                             Southbound                                                   Westbound                                        Northbound
Start Time
               Thru   Left                U-Turn   App. Total         Right        Left               U-Turn   App. Total   Right   Thru                U-Turn   App. Total   Int. Total
 7:00 AM       40     15                    0         55               40           0                   0         40         2      75                    0         77          172
 7:15 AM       75     15                    0         90               40           1                   0         41         2      89                    0         91          222
 7:30 AM       75     12                    0         87               33           1                   0         34         1      111                   0         112         233
 7:45 AM       64     19                    0         83               24           1                   0         25         6      119                   0         125         233
Hourly Total   254    61                    0         315             137           3                   0         140        11     394                   0         405         860
 8:00 AM       57     25                    0         82               24           1                   0         25         4      76                    0         80          187
 8:15 AM       44     19                    0         63               24           0                   0         24         4      56                    0         60          147
 8:30 AM       57     15                    0         72               21           1                   0         22         1      70                    0         71          165
 8:45 AM       77     13                    0         90               23           1                   0         24         2      85                    0         87          201
Hourly Total   235    72                    0         307              92           3                   0         95         11     287                   0         298         700
 9:00 AM       54     17                    0         71               17           1                   0         18         0      76                    0         76          165
 9:15 AM       58     23                    0         81               19           0                   0         19         3      88                    0         91          191
 9:30 AM       51     17                    0         68               29           1                   0         30         3      86                    0         89          187
 9:45 AM       57     20                    0         77               35           1                   0         36         2      92                    0         94          207
Hourly Total   220    77                    0         297             100           3                   0         103        8      342                   0         350         750
 10:00 AM      57     23                    0         80               38           1                   0         39         0      75                    0         75          194
 10:15 AM      62     15                    0         77               38           1                   0         39         1      68                    0         69          185
 10:30 AM      64     19                    0         83               29           2                   0         31         3      98                    0         101         215
 10:45 AM      65     19                    0         84               30           1                   0         31         1      80                    0         81          196
Hourly Total   248    76                    0         324             135           5                   0         140        5      321                   0         326         790
 11:00 AM      70     21                    0         91               33           1                   0         34         2      92                    0         94          219
 11:15 AM      68     16                    1         85               24           2                   0         26         1      76                    0         77          188
 11:30 AM      73     20                    0         93               26           0                   0         26         2      86                    0         88          207
 11:45 AM      72     18                    0         90               36           2                   0         38         3      140                   0         143         271
Hourly Total   283    75                    1         359             119           5                   0         124        8      394                   0         402         885
 12:00 PM      85     31                    0         116              38           3                   0         41         1      133                   0         134         291
 12:15 PM      80     23                    0         103              45           3                   0         48         3      118                   0         121         272
 12:30 PM      90     33                    0         123              39           0                   0         39         5      122                   0         127         289
 12:45 PM      92     18                    1         111              37           0                   0         37         1      111                   0         112         260
Hourly Total   347    105                   1         453             159           6                   0         165        10     484                   0         494         1112
 1:00 PM       82     28                    1         111              44           0                   0         44         1      99                    0         100         255
 1:15 PM       73     21                    0         94               43           1                   0         44         2      116                   0         118         256
 1:30 PM       89     33                    0         122              40           2                   0         42         2      116                   0         118         282
 1:45 PM       78     26                    0         104              42           1                   0         43         1      87                    0         88          235
Hourly Total   322    108                   1         431             169           4                   0         173        6      418                   0         424         1028
 2:00 PM       77     32                    0         109              35           0                   0         35         3      88                    0         91          235
 2:15 PM       86     32                    0         118              39           3                   0         42         4      95                    0         99          259
 2:30 PM       99     27                    0         126              57           2                   0         59         1      105                   0         106         291
 2:45 PM       85     20                    0         105              30           3                   0         33         4      108                   0         112         250
Hourly Total   347    111                   0         458             161           8                   0         169        12     396                   0         408         1035
 3:00 PM       90     19                    0         109              52           1                   0         53         5      113                   0         118         280
  3:15 PM       91    33    0   124   41    5     0   46    5    97    0   102   272
  3:30 PM       102   20    0   122   41    1     0   42    3    120   0   123   287
  3:45 PM       105   32    0   137   48    2     0   50    2    121   0   123   310
Hourly Total    388   104   0   492   182   9     0   191   15   451   0   466   1149
  4:00 PM       121   24    0   145   34    0     0   34    2    103   0   105   284
  4:15 PM       102   28    0   130   45    0     0   45    0    108   0   108   283
  4:30 PM       101   26    0   127   54    1     0   55    0    135   0   135   317
  4:45 PM       112   35    2   149   49    4     0   53    2    113   0   115   317
Hourly Total    436   113   2   551   182   5     0   187   4    459   0   463   1201
  5:00 PM       126   18    0   144   55    1     0   56    0    128   0   128   328
  5:15 PM       124   18    1   143   47    0     0   47    1    87    0   88    278
  5:30 PM       131   22    0   153   41    1     0   42    2    113   0   115   310
  5:45 PM       91    27    0   118   36    1     0   37    1    106   0   107   262
Hourly Total    472   85    1   558   179   3     0   182   4    434   0   438   1178
  6:00 PM       104   29    0   133   23    4     0   27    2    109   0   111   271
  6:15 PM       113   20    1   134   19    1     0   20    2    116   0   118   272
  6:30 PM       103   27    0   130   23    0     0   23    3    88    0   91    244
  6:45 PM       98    30    0   128   26    1     0   27    4    66    0   70    225
Hourly Total    418   106   1   525   91    6     0   97    11   379   0   390   1012
*** BREAK ***    -     -    -    -     -     -    -    -    -     -    -    -     -
  7:00 AM       46     6    0   52    38    28    0   66    0    70    0   70    188
  7:15 AM       85     8    0   93    31    31    0   62    4    89    0   93    248
  7:30 AM       70    10    0   80    40    37    0   77    5    124   0   129   286
  7:45 AM       82    19    0   101   38    41    0   79    7    136   0   143   323
Hourly Total    283   43    0   326   147   137   0   284   16   419   0   435   1045
  8:00 AM       74    12    0   86    25    57    0   82    4    80    0   84    252
  8:15 AM       65    10    0   75    25    75    0   100   7    79    0   86    261
  8:30 AM       70    12    0   82    27    45    0   72    4    91    0   95    249
  8:45 AM       84    15    0   99    23    49    0   72    5    98    0   103   274
Hourly Total    293   49    0   342   100   226   0   326   20   348   0   368   1036
  9:00 AM       71    14    0   85    30    38    0   68    6    85    0   91    244
  9:15 AM       72    11    0   83    33    31    0   64    4    91    0   95    242
  9:30 AM       66     6    0   72    23    37    0   60    3    107   0   110   242
  9:45 AM       68    13    0   81    32    52    0   84    5    107   0   112   277
Hourly Total    277   44    0   321   118   158   0   276   18   390   0   408   1005
  10:00 AM      107    9    0   116   24    53    0   77    9    103   0   112   305
  10:15 AM      114   11    0   125   31    47    0   78    9    107   0   116   319
  10:30 AM      102    5    0   107   37    38    0   75    3    103   0   106   288
  10:45 AM      94    15    0   109   33    7     0   40    5    91    0   96    245
Hourly Total    417   40    0   457   125   145   0   270   26   404   0   430   1157
  11:00 AM      88    18    0   106   36    10    0   46    12   100   0   112   264
  11:15 AM      81    12    0   93    28    6     0   34    6    131   0   137   264
  11:30 AM      86    12    0   98    27    8     0   35    6    122   0   128   261
  11:45 AM      65    21    0   86    43    10    0   53    9    117   0   126   265
Hourly Total    320   63    0   383   134   34    0   168   33   470   0   503   1054
  12:00 PM      113   23    1   137   40    3     0   43    5    103   0   108   288
  12:15 PM      96    29    0   125   48    3     0   51    5    136   0   141   317
  12:30 PM      105   25    0   130   43    4     0   47    5    116   0   121   298
  12:45 PM      98    21    0   119   43    2     0   45    2    116   0   118   282
Hourly Total    412   98    1   511   174   12    0   186   17   471   0   488   1185
  1:00 PM       99    16    0   115   43    1     0   44    2    114   0   116   275
  1:15 PM       113   31    0   144   59    2     0   61    3    106   0   109   314
 1:30 PM        91     26     0      117     28     5     0      33     6      92    0      98      248
 1:45 PM        81     31     0      112     41     2     0      43     3     106    0      109     264
Hourly Total   384    104     0      488    171    10     0     181    14     418    0      432    1101
 2:00 PM        95     27     0      122     46     3     0      49     0     104    0      104     275
 2:15 PM       101     27     0      128     35     3     0      38     5      85    0      90      256
 2:30 PM        89     33     0      122     43     4     0      47     5     113    0      118     287
 2:45 PM        88     21     0      109     42     2     0      44     3     108    0      111     264
Hourly Total   373    108     0      481    166    12     0     178    13     410    0      423    1082
 3:00 PM        92     21     0      113     42     1     0      43     3     112    0      115     271
 3:15 PM       124     16     0      140     37     3     0      40     3      86    0      89      269
 3:30 PM       113     24     1      138     39     0     0      39     6     122    0      128     305
 3:45 PM       108     27     0      135     41     2     0      43     3     105    0      108     286
Hourly Total   437     88     1      526    159     6     0     165    15     425    0      440    1131
 4:00 PM       109     32     0      141     45     5     0      50     1     109    0      110     301
 4:15 PM       107     26     0      133     41     2     0      43     0     132    0      132     308
 4:30 PM       109     24     0      133     47     0     0      47     2     142    0      144     324
 4:45 PM       118     22     0      140     46     3     0      49     3     135    0      138     327
Hourly Total   443    104     0      547    179    10     0     189     6     518    0      524    1260
 5:00 PM       118     16     0      134     42     3     0      45     4     118    0      122     301
 5:15 PM       118     35     1      154     42     3     0      45     4     120    0      124     323
 5:30 PM       116     22     0      138     43     4     0      47     3     119    0      122     307
 5:45 PM        96     24     0      120     41     2     0      43     2     108    0      110     273
Hourly Total   448     97     1      546    168    12     0     180    13     465    0      478    1204
 6:00 PM        95     27     0      122     33     2     0      35     3      95    0      98      255
 6:15 PM       104     22     0      126     21     1     0      22     1      90    0      91      239
 6:30 PM       100     19     1      120     25     0     0      25     0      90    0      90      235
 6:45 PM        85     24     0      109     12     1     0      13     2      90    0      92      214
Hourly Total   384     92     1      477     91     4     0      95     6     365    0      371     943
Grand Total    8441   2023   11     10475   3438   826    0     4264   302    9862   0     10164   24903
Approach %     80.6   19.3   0.1      -     80.6   19.4   0.0    -     3.0    97.0   0.0     -       -
  Total %      33.9   8.1    0.0    42.1    13.8   3.3    0.0   17.1   1.2    39.6   0.0   40.8      -
    Car        8156   1919    9     10084   3171   730    0     3901   282    9611   0     9893    23878
  % Car        96.6   94.9   81.8   96.3    92.2   88.4    -    91.5   93.4   97.5    -    97.3    95.9
  Medium       176     67     2      245    149    75     0     224    13     187    0      200     669
% Medium       2.1    3.3    18.2    2.3    4.3    9.1     -    5.3    4.3    1.9     -     2.0     2.7
  Heavy        109     37     0      146    118    21     0     139     7      64    0      71      356
