                                                                                       Wenatchee Valley Transportation Council                                                            Count Name: Hawley/SR285 TMC Freight and
                                                                                                  1350 McKittrick St                                                                      Bikes
                                                                                                       Suite B                                                                            Site Code:
                                                                                      Wenatchee, Washington, United States 98801                                                          Start Date: 07/24/2012
                                                                                             509.663.9059 nick@wvtc.org                                                                   Page No: 1



                                                                                               Turning Movement Data
                               Southbound Street                                    Westbound Street                                        Northbound Street                                        Eastbound Street
                                  Southbound                                          Westbound                                                Northbound                                               Eastbound
 Start Time
                Right   Thru         Left      U-Turn   App. Total   Right   Thru         Left         U-Turn   App. Total   Right   Thru         Left      U-Turn   App. Total   Right       Thru         Left         U-Turn   App. Total   Int. Total
  3:00 PM        8      330           33           0       371        40      9           16             0         65         4      306           16           0       326        6           2           11             0         19          781
  3:15 PM        4      258           29           0       291        42      7            9             0         58         5      336           10           0       351        9           7           12             0         28          728
  3:30 PM        3      327           23           0       353        38      7           10             0         55         7      312           11           0       330        7           4            9             0         20          758
  3:45 PM        5      280           28           0       313        43      4            8             0         55         7      311           8            0       326        12          7            9             0         28          722
Hourly Total     20     1195         113           0      1328       163     27           43             0         233        23     1265          45           0      1333        34          20          41             0         95          2989
  4:00 PM        4      311           32           0       347        42      8            7             0         57         7      307           11           0       325        4           4           10             0         18          747
  4:15 PM        4      270           26           0       300        42      5           13             0         60         6      299           10           0       315        5           3           14             0         22          697
  4:30 PM        7      285           26           0       318        46      5            4             0         55         7      331           12           0       350        14          4            5             0         23          746
  4:45 PM        5      292           34           0       331        38      8           13             0         59         5      326           13           0       344        10          4            6             0         20          754
Hourly Total     20     1158         118           0      1296       168     26           37             0         231        25     1263          46           0      1334        33          15          35             0         83          2944
  5:00 PM        2      266           24           0       292        26      1            5             0         32         8      296           13           0       317        13          3           11             0         27          668
  5:15 PM        2      303           29           0       334        40      3           12             0         55         5      302           11           0       318        8           5            8             0         21          728
  5:30 PM        6      334           27           0       367        21      5            6             0         32         5      284           16           0       305        14          2           10             0         26          730
  5:45 PM        6      315           39           0       360        41     10           13             0         64         3      284           9            0       296        13          6           14             0         33          753
Hourly Total     16     1218         119           0      1353       128     19           36             0         183        21     1166          49           0      1236        48          16          43             0         107         2879
  6:00 PM        5      291           33           0       329        34      3            8             0         45         5      329           7            0       341        7           3           15             0         25          740
  6:15 PM        4      263           28           0       295        30     12           13             0         55         3      295           14           0       312        13          4           11             0         28          690
  6:30 PM        5      394           25           0       424        45      7           13             0         65         6      345           10           0       361        9           3            7             0         19          869
  6:45 PM        3      316           31           0       350        42      7            5             0         54         8      326           17           0       351        12          5           11             0         28          783
Hourly Total     17     1264         117           0      1398       151     29           39             0         219        22     1295          48           0      1365        41          15          44             0         100         3082
*** BREAK ***     -      -             -           -        -          -      -            -             -          -          -      -             -           -        -          -          -            -             -          -            -
  7:00 AM        0       46           0            0       46         3       0            0             0          3         0       32           0            0       32         2           0            0             0          2           83
  7:15 AM        0       54           0            0       54         0       0            0             0          0         0       45           1            0       46         2           0            0             0          2          102
  7:30 AM        1       52           3            0       56         3       0            0             0          3         0       69           0            0       69         0           0            1             0          1          129
  7:45 AM        0       42           0            0       42         1       0            0             0          1         1       60           0            0       61         2           0            1             0          3          107
Hourly Total     1      194           3            0       198        7       0            0             0          7         1      206           1            0       208        6           0            2             0          8          421
  8:00 AM        0       36           4            0       40         2       0            1             0          3         0       75           0            0       75         2           0            0             0          2          120
  8:15 AM        1       53           18           0       72         11      1            0             0         12         1      110           0            0       111        1           0            1             0          2          197
  8:30 AM        1       74           18           0       93         4       0            3             0          7         0      150           2            0       152        1           6            1             0          8          260
  8:45 AM        1      102           28           0       131        16      1            1             0         18         3      151           1            0       155        0           3            2             0          5          309
Hourly Total     3      265           68           0       336        33      2            5             0         40         4      486           3            0       493        4           9            4             0         17          886
  9:00 AM        1       83           11           1       96         9       0            0             0          9         0      107           1            0       108        5           1            3             0          9          222
  9:15 AM        0      107           24           0       131        3       0            1             0          4         1      186           2            0       189        1           2            1             0          4          328
  9:30 AM        2      147           33           0       182        9       1            0             0         10         0      269           1            0       270        5           1            2             0          8          470
  9:45 AM        1      218           32           0       251        16      0            4             0         20         6      227           3            0       236        4           1            6             0         11          518
Hourly Total     4      555          100           1       660        37      1            5             0         43         7      789           7            0       803        15          5           12             0         32          1538
  10:00 AM       4      180           18           0       202        10      2            0             0         12         2      146           2            0       150        2           1            4             0          7          371
  10:15 AM       2      214           25           0       241        14      3            2             0         19         2      156           2            0       160        9           3            4             0         16          436
  10:30 AM       3      291           22           0       316        18      1            0             0         19         5      199           3            0       207        9           2            3             0         14          556
  10:45 AM       3      295           40           0       338        18      3            6             0         27         3      218           5            0       226        11          8            4             0         23          614
Hourly Total     12     980          105           0      1097        60      9            8             0         77         12     719           12           0       743        31          14          15             0         60          1977
  11:00 AM      2    267    21    0   290    25    2    1    0   28    2    175    2    0   179    8    3    5    0   16    513
  11:15 AM      3    205    30    0   238    33    3    3    0   39    1    163    9    0   173    7    2    6    0   15    465
  11:30 AM      4    257    18    0   279    26    2    4    0   32    2    191    5    0   198    8    6    5    0   19    528
  11:45 AM      6    239    33    0   278    26    4    4    0   34    1    179    10   0   190    15   7    3    0   25    527
Hourly Total    15   968    102   0   1085   110   11   12   0   133   6    708    26   0   740    38   18   19   0   75    2033
  12:00 PM      1    241    25    0   267    20    4    7    0   31    8    196    7    0   211    7    3    5    0   15    524
  12:15 PM      6    210    21    0   237    29    9    9    0   47    2    219    8    0   229    11   4    4    0   19    532
  12:30 PM      1    272    20    0   293    23    6    3    0   32    4    237    7    0   248    9    1    5    0   15    588
  12:45 PM      4    293    40    0   337    33    4    3    0   40    3    230    2    0   235    9    4    13   0   26    638
Hourly Total    12   1016   106   0   1134   105   23   22   0   150   17   882    24   0   923    36   12   27   0   75    2282
  1:00 PM       4    271    36    0   311    30    6    6    0   42    5    219    8    0   232    5    2    8    0   15    600
  1:15 PM       2    254    51    0   307    24    3    6    0   33    6    222    3    0   231    8    6    6    0   20    591
  1:30 PM       2    270    28    0   300    31    3    4    0   38    9    246    4    0   259    5    3    5    0   13    610
  1:45 PM       4    270    30    0   304    34    5    10   0   49    9    266    6    0   281    10   5    9    0   24    658
Hourly Total    12   1065   145   0   1222   119   17   26   0   162   29   953    21   0   1003   28   16   28   0   72    2459
  2:00 PM       5    271    26    0   302    25    8    11   0   44    3    268    8    0   279    6    2    11   0   19    644
  2:15 PM       7    239    33    0   279    48    3    14   0   65    8    272    7    0   287    4    6    5    0   15    646
  2:30 PM       6    280    30    0   316    34    5    6    0   45    6    265    4    0   275    11   2    8    0   21    657
  2:45 PM       1    324    28    0   353    40    7    8    0   55    5    283    11   0   299    14   2    14   0   30    737
