                                                                  Wenatchee Valley Transportation Council                                  Count Name: South Wenatchee Avenue /
                                                                             1350 McKittrick St                                            Crawford Street
                                                                                  Suite B                                                  Site Code:
                                                                 Wenatchee, Washington, United States 98801                                Start Date: 07/31/2013
                                                                        509.663.9059 nick@wvtc.org                                         Page No: 1



                                                                     Turning Movement Data
                       Southbound Approach                                           Northbound Approach                               Eastbound Approach
                              Southbound                                                   Northbound                                        Eastbound
Start Time
               Right   Thru                U-Turn   App. Total         Thru         Left                U-Turn   App. Total   Right   Left               U-Turn   App. Total   Int. Total
 7:00 AM        4      32                    0         36               66           11                   0         77         8       1                   0          9          122
 7:15 AM        2      35                    0         37               86           23                   0         109        10      7                   0         17          163
 7:30 AM        2      27                    0         29               66           26                   0         92         16     10                   0         26          147
 7:45 AM        3      38                    0         41               78           19                   0         97         17      9                   0         26          164
Hourly Total    11     132                   0         143             296           79                   0         375        51     27                   0         78          596
 8:00 AM        3      45                    0         48               62           19                   0         81         13      5                   0         18          147
 8:15 AM        4      40                    0         44               57           13                   0         70         13      2                   0         15          129
 8:30 AM        2      41                    0         43               47           8                    0         55         13      4                   0         17          115
 8:45 AM        6      33                    0         39               68           19                   0         87         6      10                   0         16          142
Hourly Total    15     159                   0         174             234           59                   0         293        45     21                   0         66          533
 9:00 AM        6      41                    0         47               44           15                   0         59         13      2                   0         15          121
 9:15 AM        7      44                    0         51               63           16                   0         79         11      3                   0         14          144
 9:30 AM        7      42                    0         49               60           15                   0         75         23      6                   0         29          153
 9:45 AM        8      48                    0         56               66           11                   0         77         10      4                   0         14          147
Hourly Total    28     175                   0         203             233           57                   0         290        57     15                   0         72          565
 10:00 AM       11     52                    0         63               72           11                   0         83         15     10                   0         25          171
 10:15 AM       8      42                    0         50               66           13                   0         79         16      7                   0         23          152
 10:30 AM       14     58                    0         72               56           17                   0         73         17      5                   0         22          167
 10:45 AM       4      53                    0         57               53           21                   0         74         16      4                   0         20          151
Hourly Total    37     205                   0         242             247           62                   0         309        64     26                   0         90          641
 11:00 AM       10     55                    0         65               62           13                   0         75         19      5                   0         24          164
 11:15 AM       10     48                    0         58               56           13                   0         69         10      3                   0         13          140
 11:30 AM       14     50                    0         64               59           12                   0         71         14      8                   0         22          157
 11:45 AM       15     41                    0         56               68           16                   0         84         13      4                   0         17          157
Hourly Total    49     194                   0         243             245           54                   0         299        56     20                   0         76          618
 12:00 PM       15     68                    0         83               70           26                   0         96         17      5                   0         22          201
 12:15 PM       9      57                    0         66               72           20                   0         92         17      3                   0         20          178
 12:30 PM       17     58                    0         75               62           30                   0         92         21      7                   0         28          195
 12:45 PM       9      69                    0         78               67           26                   0         93         21      6                   0         27          198
Hourly Total    50     252                   0         302             271          102                   0         373        76     21                   0         97          772
 1:00 PM        17     57                    0         74               69           7                    0         76         17      7                   0         24          174
 1:15 PM        15     59                    0         74               76           25                   0         101        19      9                   0         28          203
 1:30 PM        14     74                    0         88               83           27                   0         110        17      4                   0         21          219
 1:45 PM        8      62                    0         70               76           15                   0         91         14      3                   0         17          178
Hourly Total    54     252                   0         306             304           74                   0         378        67     23                   0         90          774
 2:00 PM        13     60                    0         73               72           25                   0         97         16      4                   0         20          190
 2:15 PM        14     83                    0         97               75           15                   0         90         21      8                   0         29          216
 2:30 PM        20     72                    0         92               95           22                   0         117        21      2                   0         23          232
 2:45 PM        5      71                    0         76               66           27                   0         93         20      2                   0         22          191
Hourly Total    52     286                   0         338             308           89                   0         397        78     16                   0         94          829
 3:00 PM        14     68                    0         82               79           19                   0         98         14      5                   0         19          199
  3:15 PM       10   78    0   88    83    18    0   101   13   4    0   17    206
  3:30 PM       15   77    0   92    78    27    0   105   19   6    0   25    222
  3:45 PM       17   87    0   104   81    34    0   115   14   2    0   16    235
Hourly Total    56   310   0   366   321   98    0   419   60   17   0   77    862
  4:00 PM       15   93    0   108   56    19    0   75    18   6    0   24    207
  4:15 PM       21   85    0   106   71    27    0   98    13   5    0   18    222
  4:30 PM       20   102   0   122   108   32    0   140   17   7    0   24    286
  4:45 PM       23   101   0   124   81    39    0   120   22   5    0   27    271
Hourly Total    79   381   0   460   316   117   0   433   70   23   0   93    986
  5:00 PM       33   96    0   129   76    39    0   115   22   6    0   28    272
  5:15 PM       25   105   0   130   69    27    0   96    22   10   0   32    258
  5:30 PM       21   89    0   110   55    13    0   68    19   4    0   23    201
