                                                                          Wenatchee Valley Transportation Council                                      Count Name: Miller/SR285 TMC Frieght and
                                                                                     1350 McKittrick St                                                Bike/Ped
                                                                                          Suite B                                                      Site Code:
                                                                         Wenatchee, Washington, United States 98801                                    Start Date: 07/24/2012
                                                                                509.663.9059 nick@wvtc.org                                             Page No: 1



                                                                              Turning Movement Data
                               Southbound Street                                              Northbound Street                                        Eastbound Street
                                  Southbound                                                     Northbound                                               Eastbound
 Start Time
                Right   Thru         Left          U-Turn   App. Total      Right      Thru         Left          U-Turn   App. Total   Right   Thru         Left         U-Turn   App. Total   Int. Total
  1:00 PM        2      355           0              0         357           48        358           0              0         406        6       0            0             0          6          769
  1:15 PM        1      338           1              0         340           49        320           0              0         369        2       0            0             0          2          711
  1:30 PM        0      345           0              0         345           50        378           0              0         428        1       0            0             0          1          774
  1:45 PM        2      342           0              0         344           34        313           1              0         348        5       0            0             0          5          697
Hourly Total     5      1380          1              0        1386          181       1369           1              0        1551        14      0            0             0         14          2951
  2:00 PM        0      312           0              0         312           33        319           1              0         353        1       0            0             0          1          666
  2:15 PM        0      358           0              0         358           41        343           0              0         384        5       0            0             0          5          747
  2:30 PM        3      359           0              0         362           36        281           0              0         317        4       0            0             0          4          683
  2:45 PM        0      378           0              0         378           41        315           0              0         356        3       0            0             0          3          737
Hourly Total     3      1407          0              0        1410          151       1258           1              0        1410        13      0            0             0         13          2833
  3:00 PM        0      345           0              0         345           40        363           0              0         403        4       0            0             0          4          752
  3:15 PM        2      336           0              0         338           28        329           0              0         357        2       0            0             0          2          697
  3:30 PM        1      409           0              0         410           28        365           0              0         393        3       0            0             0          3          806
  3:45 PM        2      389           0              0         391           40        351           0              0         391        3       0            0             0          3          785
Hourly Total     5      1479          0              0        1484          136       1408           0              0        1544        12      0            0             0         12          3040
  4:00 PM        5      375           0              0         380           41        362           0              0         403        0       0            0             0          0          783
  4:15 PM        1      373           0              0         374           41        369           0              0         410        2       0            0             0          2          786
  4:30 PM        0      430           0              0         430           49        403           0              0         452        4       0            0             0          4          886
  4:45 PM        1      408           0              0         409           66        397           0              0         463        0       0            0             0          0          872
Hourly Total     7      1586          0              0        1593          197       1531           0              0        1728        6       0            0             0          6          3327
  5:00 PM        5      477           0              0         482           60        425           0              0         485        3       0            0             0          3          970
  5:15 PM        3      387           0              0         390           58        399           0              0         457        4       0            0             0          4          851
  5:30 PM        2      332           0              0         334           32        327           0              0         359        3       0            0             0          3          696
  5:45 PM        3      267           0              0         270           28        316           0              0         344        2       0            0             0          2          616
Hourly Total     13     1463          0              0        1476          178       1467           0              0        1645        12      0            0             0         12          3133
  6:00 PM        2      298           0              0         300           27        324           0              0         351        3       0            0             0          3          654
  6:15 PM        0      269           0              0         269           13        281           0              0         294        3       0            0             0          3          566
  6:30 PM        2      288           0              0         290           27        251           1              0         279        4       0            0             0          4          573
  6:45 PM        2      242           0              0         244           26        226           0              0         252        1       0            2             0          3          499
Hourly Total     6      1097          0              0        1103           93       1082           1              0        1176        11      0            2             0         13          2292
*** BREAK ***     -      -             -             -          -             -         -             -             -          -          -      -            -             -          -            -
