                                                                  Wenatchee Valley Transportation Council
                                                                             1350 McKittrick St                                            Count Name: Euclid Interchange south of US2
                                                                                  Suite B                                                  Site Code:
                                                                 Wenatchee, Washington, United States 98801                                Start Date: 04/17/2013
                                                                        509.663.9059 nick@wvtc.org                                         Page No: 1



                                                                     Turning Movement Data
                       Southbound Approach                                           Northbound Approach                               Eastbound Approach
                              Southbound                                                   Northbound                                        Eastbound
Start Time
               Right   Thru                U-Turn   App. Total         Thru         Left                U-Turn   App. Total   Right   Left               U-Turn   App. Total   Int. Total
 7:00 AM        24     44                    0         68               29           10                   0         39         7      11                   0         18          125
 7:15 AM        24     55                    0         79               32           10                   0         42         1       7                   0          8          129
 7:30 AM        21     43                    0         64               32           6                    0         38         5       7                   0         12          114
 7:45 AM        24     63                    0         87               29           11                   0         40         6       6                   0         12          139
Hourly Total    93     205                   0         298             122           37                   0         159        19     31                   0         50          507
 8:00 AM        20     54                    0         74               35           9                    0         44         3       8                   0         11          129
 8:15 AM        20     41                    0         61               36           16                   0         52         8       9                   0         17          130
 8:30 AM        29     43                    0         72               28           19                   0         47         4       6                   0         10          129
 8:45 AM        10     33                    0         43               33           13                   0         46         6       7                   0         13          102
Hourly Total    79     171                   0         250             132           57                   0         189        21     30                   0         51          490
 9:00 AM        14     39                    0         53               23           16                   0         39         7       7                   0         14          106
 9:15 AM        12     31                    0         43               29           9                    0         38         5      10                   0         15           96
 9:30 AM        27     36                    0         63               38           11                   0         49         1      10                   0         11          123
 9:45 AM        25     38                    0         63               24           25                   0         49         3       9                   0         12          124
Hourly Total    78     144                   0         222             114           61                   0         175        16     36                   0         52          449
 10:00 AM       22     41                    0         63               35           15                   0         50         3       9                   0         12          125
 10:15 AM       22     50                    0         72               33           20                   0         53         3       8                   0         11          136
 10:30 AM       17     35                    0         52               28           24                   0         52         2       6                   0          8          112
 10:45 AM       19     38                    0         57               26           17                   0         43         4       9                   0         13          113
Hourly Total    80     164                   0         244             122           76                   0         198        12     32                   0         44          486
 11:00 AM       9      31                    0         40               31           28                   0         59         4      12                   0         16          115
 11:15 AM       19     29                    0         48               33           25                   0         58         7       6                   0         13          119
 11:30 AM       20     35                    0         55               30           17                   1         48         3       6                   0          9          112
 11:45 AM       23     47                    0         70               37           23                   0         60         6       8                   0         14          144
Hourly Total    71     142                   0         213             131           93                   1         225        20     32                   0         52          490
 12:00 PM       27     47                    0         74               35           25                   0         60         1       6                   0          7          141
 12:15 PM       18     29                    0         47               37           27                   0         64         6      10                   0         16          127
 12:30 PM       22     30                    0         52               49           19                   0         68         5       9                   0         14          134
 12:45 PM       16     45                    0         61               38           17                   0         55         6      13                   0         19          135
Hourly Total    83     151                   0         234             159           88                   0         247        18     38                   0         56          537
 1:00 PM        21     24                    0         45               41           24                   0         65         6       6                   0         12          122
 1:15 PM        19     41                    0         60               43           21                   0         64         4      12                   0         16          140
 1:30 PM        19     42                    0         61               36           21                   0         57         9       8                   0         17          135
 1:45 PM        19     37                    0         56               36           21                   0         57         2      11                   0         13          126
Hourly Total    78     144                   0         222             156           87                   0         243        21     37                   0         58          523
 2:00 PM        17     31                    0         48               39           25                   0         64         2       8                   0         10          122
 2:15 PM        27     41                    0         68               47           31                   0         78         6       4                   0         10          156
 2:30 PM        51     54                    0         105              41           94                   0         135        6      10                   0         16          256
 2:45 PM        47     63                    0         110              43           30                   0         73         1       6                   0          7          190
Hourly Total   142     189                   0         331             170          180                   0         350        15     28                   0         43          724
 3:00 PM        47     43                    0         90               51           21                   0         72         5       7                   0         12          174
  3:15 PM       38    43    0   81    54    23    0   77    7    7    0   14   172
  3:30 PM       46    67    0   113   59    74    0   133   7    7    0   14   260
  3:45 PM       40    47    0   87    58    31    0   89    6    6    0   12   188
Hourly Total    171   200   0   371   222   149   0   371   25   27   0   52   794
  4:00 PM       29    42    0   71    39    46    0   85    3    10   0   13   169
  4:15 PM       22    40    0   62    41    35    0   76    4    7    0   11   149
  4:30 PM       29    31    0   60    38    57    0   95    3    8    0   11   166
  4:45 PM       35    29    0   64    52    38    0   90    2    12   0   14   168
Hourly Total    115   142   0   257   170   176   0   346   12   37   0   49   652
  5:00 PM       44    20    0   64    63    57    0   120   3    10   0   13   197
  5:15 PM       34    13    0   47    42    41    0   83    2    11   0   13   143
  5:30 PM       22    16    0   38    36    26    0   62    4    8    0   12   112
  5:45 PM       16    22    0   38    36    19    0   55    2    8    0   10   103
Hourly Total    116   71    0   187   177   143   0   320   11   37   0   48   555
  6:00 PM       22    14    0   36    28    17    0   45    2    9    0   11   92
  6:15 PM        9    14    0   23    17    14    0   31    4    5    0   9    63
  6:30 PM       11    10    0   21    25    17    0   42    3    8    0   11   74
  6:45 PM       13    16    0   29    13    8     0   21    1    10   0   11   61
Hourly Total    55    54    0   109   83    56    0   139   10   32   0   42   290
*** BREAK ***    -     -    -    -     -     -    -    -    -    -    -   -     -
  7:00 AM       33    41    0   74    36    3     0   39    8    9    0   17   130
  7:15 AM       16    45    0   61    29    13    0   42    8    8    0   16   119
  7:30 AM       29    58    0   87    40    7     0   47    6    8    0   14   148
  7:45 AM       17    80    0   97    33    13    0   46    4    10   0   14   157
Hourly Total    95    224   0   319   138   36    0   174   26   35   0   61   554
  8:00 AM       20    54    0   74    32    15    0   47    4    11   0   15   136
  8:15 AM       23    39    0   62    31    13    0   44    6    8    0   14   120
  8:30 AM       20    21    0   41    24    21    0   45    5    4    0   9    95
  8:45 AM       18    34    0   52    29    10    0   39    7    7    0   14   105
Hourly Total    81    148   0   229   116   59    0   175   22   30   0   52   456
  9:00 AM       22    29    0   51    33    16    0   49    3    6    0   9    109
  9:15 AM       19    30    0   49    27    10    0   37    2    5    0   7    93
  9:30 AM       19    35    0   54    32    18    0   50    7    7    0   14   118
