                                                      Wenatchee Valley Transportation Council
                                                                 1350 McKittrick St                                   Count Name: State Parks Loop Count A
                                                                      Suite B                                         Site Code:
                                                     Wenatchee, Washington, United States 98801                       Start Date: 07/27/2012
                                                           509.663.9059 patrick@wvtc.org                              Page No: 1



                                                         Turning Movement Data
                        Southbound Street                                  Northbound Street                        Eastbound Street
                           Southbound                                         Northbound                               Eastbound
 Start Time
                Right         Thru          App. Total          Thru             Left          App. Total   Right         Left         App. Total      Int. Total
  1:30 PM        2             1                3                0                0                0         0             0               0                 3
  1:45 PM        1             0                1                3                1                4         1             2               3                 8
Hourly Total     3             1                4                3                1                4         1             2               3              11
  2:00 PM        0             2                2                3                0                3         0             0               0                 5
  2:15 PM        0             2                2                1                0                1         0             1               1                 4
  2:30 PM        7             0                7                1                1                2         1             0               1              10
  2:45 PM        0             0                0                0                0                0         1             0               1                 1
Hourly Total     7             4               11                5                1                6         2             1               3              20
  3:00 PM        0             3                3                1                4                5         3             0               3              11
  3:15 PM        1             0                1                2                0                2         1             8               9              12
  3:30 PM        1             4                5                4                2                6         1             1               2              13
  3:45 PM        3             2                5                1                4                5         1             1               2              12
Hourly Total     5             9               14                8                10              18         6            10              16              48
  4:00 PM        0             3                3                0                1                1         2             0               2                 6
  4:15 PM        1             4                5                0                0                0         0             5               5              10
  4:30 PM        1             1                2                3                1                4         1             0               1                 7
  4:45 PM        1             1                2                2                0                2         1             1               2                 6
Hourly Total     3             9               12                5                2                7         4             6              10              29
  5:00 PM        3             1                4                0                0                0         0             1               1                 5
  5:15 PM        0             1                1                4                0                4         2             0               2                 7
  5:30 PM        3             1                4                5                2                7         0             1               1              12
  5:45 PM        1             0                1                1                0                1         1             1               2                 4
Hourly Total     7             3               10                10               2               12         3             3               6              28
  6:00 PM        1             1                2                0                1                1         0             4               4                 7
  6:15 PM        0             3                3                2                1                3         0             0               0                 6
  6:30 PM        2             2                4                2                0                2         2             1               3                 9
  6:45 PM        0             2                2                4                1                5         3             2               5              12
Hourly Total     3             8               11                8                3               11         5             7              12              34
  7:00 PM        5             0                5                3                0                3         4             1               5              13
  7:15 PM        2             3                5                1                2                3         1             2               3              11
*** BREAK ***     -             -               -                -                 -               -          -            -               -                 -
Hourly Total     7             3               10                4                2                6         5             3               8              24
  7:00 AM        2             1                3                4                1                5         0             1               1                 9
  7:15 AM        2             1                3                2                4                6         1             0               1              10
  7:30 AM        0             5                5                0                2                2         0             0               0                 7
  7:45 AM        0             1                1                1                3                4         1             2               3                 8
Hourly Total     4             8               12                7                10              17         2             3               5              34
  8:00 AM        1             3                4                2                5                7         5             0               5              16
  8:15 AM        1             4                5                6                3                9         7             0               7              21
  8:30 AM        0             1                1                1                4                5         6             0               6              12
  8:45 AM        0             2                2                2                7                9         12            0              12              23
Hourly Total   2   10   12   11   19   30   30   0   30   72
 9:00 AM       1   1    2    2    1    3    0    0   0    5
 9:15 AM       1   5    6    2    3    5    13   1   14   25
 9:30 AM       0   3    3    0    5    5    10   1   11   19
 9:45 AM       4   6    10   1    4    5    8    3   11   26
Hourly Total   6   15   21   5    13   18   31   5   36   75
 10:00 AM      0   4    4    0    7    7    1    2   3    14
 10:15 AM      3   9    12   2    7    9    5    3   8    29
 10:30 AM      1   7    8    0    3    3    9    1   10   21
 10:45 AM      4   9    13   6    6    12   2    0   2    27
Hourly Total   8   29   37   8    23   31   17   6   23   91
 11:00 AM      2   2    4    6    3    9    8    0   8    21
 11:15 AM      4   11   15   0    2    2    5    0   5    22
 11:30 AM      2   1    3    7    7    14   8    1   9    26
 11:45 AM      0   4    4    2    4    6    2    5   7    17
Hourly Total   8   18   26   15   16   31   23   6   29   86
 12:00 PM      1   1    2    2    3    5    2    0   2    9
 12:15 PM      0   3    3    3    1    4    3    0   3    10
 12:30 PM      2   3    5    1    2    3    6    0   6    14
 12:45 PM      2   0    2    1    3    4    2    0   2    8
Hourly Total   5   7    12   7    9    16   13   0   13   41
 1:00 PM       0   0    0    1    4    5    2    1   3    8
 1:15 PM       3   5    8    2    2    4    6    3   9    21
 1:30 PM       1   2    3    0    7    7    0    1   1    11
 1:45 PM       1   0    1    2    1    3    0    0   0    4
Hourly Total   5   7    12   5    14   19   8    5   13   44
 2:00 PM       0   3    3    3    4    7    3    1   4    14
 2:15 PM       1   0    1    3    0    3    2    1   3    7
 2:30 PM       2   1    3    1    6    7    3    1   4    14
 2:45 PM       4   0    4    1    5    6    5    1   6    16
Hourly Total   7   4    11   8    15   23   13   4   17   51
 3:00 PM       1   2    3    1    4    5    8    0   8    16
 3:15 PM       0   1    1    3    7    10   3    0   3    14
 3:30 PM       1   2    3    6    1    7    2    3   5    15
 3:45 PM       0   2    2    4    1    5    2    1   3    10
Hourly Total   2   7    9    14   13   27   15   4   19   55
 4:00 PM       0   4    4    4    4    8    5    2   7    19
 4:15 PM       1   3    4    1    0    1    2    0   2    7
 4:30 PM       2   1    3    3    2    5    1    0   1    9
 4:45 PM       0   2    2    0    3    3    3    0   3    8
Hourly Total   3   10   13   8    9    17   11   2   13   43
 5:00 PM       1   2    3    1    0    1    2    4   6    10
 5:15 PM       4   0    4    2    0    2    1    0   1    7
 5:30 PM       3   2    5    1    0    1    2    0   2    8
 5:45 PM       0   3    3    2    2    4    0    0   0    7
Hourly Total   8   7    15   6    2    8    5    4   9    32
 6:00 PM       0   3    3    9    1    10   0    0   0    13
 6:15 PM       1   2    3    0    3    3    3    1   4    10
 6:30 PM       2   2    4    2    1    3    6    3   9    16
 6:45 PM       3   0    3    5    0    5    0    0   0    8
Hourly Total   6   7    13   16   5    21   9    4   13   47
 7:00 PM       0   6    6    4    3    7    1    0   1    14
  7:15 PM       1   1    2    2    0    2    2    0   2    6
*** BREAK ***   -   -    -    -    -    -    -    -   -    -
Hourly Total    1   7    8    6    3    9    3    0   3    20
  7:00 AM       0   0    0    1    2    3    2    1   3    6
  7:15 AM       0   2    2    0    1    1    0    0   0    3
  7:30 AM       0   2    2    0    0    0    1    1   2    4
  7:45 AM       2   6    8    2    4    6    0    0   0    14
Hourly Total    2   10   12   3    7    10   3    2   5    27
  8:00 AM       0   3    3    3    0    3    3    0   3    9
  8:15 AM       1   0    1    0    7    7    1    0   1    9
  8:30 AM       0   2    2    1    4    5    9    0   9    16
  8:45 AM       4   2    6    4    2    6    3    1   4    16
Hourly Total    5   7    12   8    13   21   16   1   17   50
  9:00 AM       1   3    4    1    7    8    2    0   2    14
  9:15 AM       0   3    3    2    2    4    6    4   10   17
  9:30 AM       1   4    5    6    7    13   18   0   18   36
  9:45 AM       2   1    3    2    1    3    8    0   8    14
Hourly Total    4   11   15   11   17   28   34   4   38   81
  10:00 AM      0   6    6    5    2    7    2    0   2    15
  10:15 AM      0   9    9    2    3    5    5    0   5    19
  10:30 AM      0   2    2    0    4    4    5    0   5    11
  10:45 AM      3   0    3    3    1    4    6    1   7    14
Hourly Total    3   17   20   10   10   20   18   1   19   59
  11:00 AM      0   2    2    1    6    7    4    3   7    16
  11:15 AM      0   6    6    2    1    3    3    4   7    16
  11:30 AM      4   4    8    1    7    8    4    1   5    21
  11:45 AM      3   0    3    2    1    3    4    1   5    11
Hourly Total    7   12   19   6    15   21   15   9   24   64
  12:00 PM      0   2    2    1    3    4    6    1   7    13
  12:15 PM      0   0    0    0    4    4    8    0   8    12
  12:30 PM      4   1    5    2    0    2    4    0   4    11
  12:45 PM      0   1    1    0    1    1    3    1   4    6
Hourly Total    4   4    8    3    8    11   21   2   23   42
  1:00 PM       0   4    4    2    1    3    5    0   5    12
  1:15 PM       0   2    2    2    0    2    2    3   5    9
  1:30 PM       0   6    6    0    3    3    1    1   2    11
  1:45 PM       0   2    2    4    0    4    1    0   1    7
Hourly Total    0   14   14   8    4    12   9    4   13   39
  2:00 PM       1   0    1    1    5    6    2    2   4    11
  2:15 PM       4   4    8    2    2    4    4    0   4    16
  2:30 PM       1   2    3    2    2    4    3    0   3    10
  2:45 PM       1   3    4    1    2    3    1    0   1    8
Hourly Total    7   9    16   6    11   17   10   2   12   45
  3:00 PM       2   4    6    0    6    6    3    1   4    16
  3:15 PM       0   4    4    2    1    3    0    0   0    7
  3:30 PM       1   0    1    2    0    2    0    1   1    4
  3:45 PM       1   2    3    0    0    0    3    3   6    9
Hourly Total    4   10   14   4    7    11   6    5   11   36
  4:00 PM       0   0    0    1    2    3    2    0   2    5
  4:15 PM       0   2    2    4    3    7    0    1   1    10
  4:30 PM       0   2    2    7    2    9    1    4   5    16
  4:45 PM       3   1    4    5    2    7    0    1   1    12
Hourly Total    3      5      8     17      9     26      3      6      9      43
 5:00 PM        1      1      2      3      3      6      0      1      1      9
 5:15 PM        2      0      2      2      0      2      1      0      1      5
 5:30 PM        0      3      3      1      0      1      0      1      1      5
 5:45 PM        0      1      1      1      0      1      0      0      0      2
Hourly Total    3      5      8      7      3     10      1      2      3      21
 6:00 PM        0      1      1      0      0      0      2      2      4      5
 6:15 PM        2      0      2      1      2      3      7      0      7      12
 6:30 PM        0      2      2      0      0      0      2      0      2      4
 6:45 PM        1      0      1      1      2      3      2      0      2      6
Hourly Total    3      3      6      2      4      6     13      2     15      27
 7:00 PM        0      0      0      0      7      7      2      0      2      9
 7:15 PM        2      6      8      0      2      2      1      1      2      12
Grand Total    147    286    433    244    289    533    358    116    474    1440
Approach %     33.9   66.1    -     45.8   54.2    -     75.5   24.5    -      -
  Total %      10.2   19.9   30.1   16.9   20.1   37.0   24.9   8.1    32.9    -
    Car        73     125    198    121    69     190    79     64     143    531
  % Car        49.7   43.7   45.7   49.6   23.9   35.6   22.1   55.2   30.2   36.9
   Bike        74     161    235    123    220    343    279    52     331    909
