                                                                                    Wenatchee Valley Transportation Council                                                  Count Name: Eastmont Avenue/Valley View
                                                                                               1350 McKittrick St                                                            Blvd/Badger Mtn Road
                                                                                                    Suite B                                                                  Site Code:
                                                                                   Wenatchee, Washington, United States 98801                                                Start Date: 09/26/2013
                                                                                          509.663.9059 nick@wvtc.org                                                         Page No: 1



                                                                                       Turning Movement Data
                      Badger Mountain Road                             Westbound Approach                                    Eastmont Avenue                                           Valley View Blvd
                          Southbound                                       Westbound                                           Northbound                                                Eastbound
Start Time
               Thru     Left      U-Turn     App. Total   Right   Thru        Left      U-Turn   App. Total   Right   Thru        Left         U-Turn   App. Total   Right      Thru         Left         U-Turn   App. Total   Int. Total
 7:00 AM       64        0           0          64         1       2           6            0        9         2       6           0             0          8         1          1            3             0          5           86
 7:15 AM       105       0           0          105        0       0           1            0        1         4      18           2             0         24         0          0            2             0          2          132
 7:30 AM       95        0           0          95         0       0           2            0        2         0      21           4             0         25         2          0            1             0          3          125
 7:45 AM       83        0           0          83         0       1           2            0        3         0      21           2             0         23         2          0            4             0          6          115
Hourly Total   347       0           0          347        1       3          11            0       15         6      66           8             0         80         5          1           10             0         16          458
 8:00 AM       47        0           0          47         0       1           3            0        4         0      23           2             0         25         2          0            5             0          7           83
 8:15 AM       42        0           0          42         0       1           1            0        2         0      17           2             0         19         5          1           12             0         18           81
 8:30 AM       50        0           0          50         0       2           2            0        4         0      23           1             0         24         1          1            9             0         11           89
 8:45 AM       32        0           0          32         0       0           2            0        2         2      15           1             0         18         1          0            2             0          3           55
Hourly Total   171       0           0          171        0       4           8            0       12         2      78           6             0         86         9          2           28             0         39          308
 9:00 AM       20        0           0          20         0       0           2            0        2         2      14           3             0         19         0          1            7             0          8           49
 9:15 AM       28        0           0          28         0       0           3            0        3         0      13           3             0         16         1          0            4             0          5           52
 9:30 AM       24        0           0          24         0       2           2            0        4         0      12           3             0         15         2          0            0             0          2           45
 9:45 AM       29        0           0          29         0       1           0            0        1         4      20           3             0         27         1          0            1             0          2           59
Hourly Total   101       0           0          101        0       3           7            0       10         6      59           12            0         77         4          1           12             0         17          205
 10:00 AM      27        0           0          27         0       1           1            0        2         1      16           2             0         19         5          0            4             0          9           57
 10:15 AM      15        0           2          17         0       0           3            0        3         3      13           3             0         19         2          0            2             0          4           43
 10:30 AM      34        0           0          34         0       0           2            0        2         1      23           0             0         24         1          2            3             0          6           66
 10:45 AM      23        0           0          23         0       1           3            0        4         1      16           2             0         19         2          0            1             0          3           49
Hourly Total   99        0           2          101        0       2           9            0       11         6      68           7             0         81         10         2           10             0         22          215
 11:00 AM      26        0           1          27         0       1           1            0        2         1      18           1             1         21         1          1            3             0          5           55
 11:15 AM      10        0           0          10         0       1           4            0        5         3      28           1             0         32         4          0            5             0          9           56
 11:30 AM      33        0           0          33         1       0           0            0        1         3      24           1             0         28         4          0            7             0         11           73
 11:45 AM      41        0           0          41         0       3           2            0        5         2      28           3             0         33         0          1            8             0          9           88
Hourly Total   110       0           1          111        1       5           7            0       13         9      98           6             1         114        9          2           23             0         34          272
 12:00 PM      37        0           0          37         0       0           1            0        1         1      29           1             0         31         2          0            8             0         10           79
 12:15 PM      22        1           0          23         0       0           0            0        0         2      24           2             0         28         2          0            7             0          9           60
 12:30 PM      26        0           0          26         0       0           3            0        3         4      27           3             0         34         1          0            7             0          8           71
 12:45 PM      33        0           0          33         0       0           4            0        4         3      33           0             0         36         2          1            8             0         11           84
Hourly Total   118       1           0          119        0       0           8            0        8         10     113          6             0         129        7          1           30             0         38          294
 1:00 PM       32        0           0          32         0       1           1            0        2         3      32           1             0         36         5          1            5             0         11           81
 1:15 PM       25        0           0          25         0       0           3            0        3         1      27           2             0         30         3          1           15             0         19           77
 1:30 PM       41        0           0          41         0       0           1            0        1         3      30           2             0         35         3          0            1             0          4           81
 1:45 PM       23        0           0          23         0       1           1            0        2         3      23           3             0         29         2          0            5             0          7           61
Hourly Total   121       0           0          121        0       2           6            0        8         10     112          8             0         130        13         2           26             0         41          300
 2:00 PM       31        0           0          31         0       1           1            0        2         8      26           0             0         34         1          0            4             0          5           72
 2:15 PM       30        0           0          30         0       0           2            0        2         2      32           1             0         35         3          1            2             0          6           73
 2:30 PM       29        0           0          29         0       0           1            0        1         2      37           2             0         41         9          1            6             0         16           87
 2:45 PM       19        1           0          20         1       1           1            0        3         5      65           2             0         72         5          1           11             0         17          112
Hourly Total   109       1           0          110        1       2           5            0        8         17     160          5             0         182        18         3           23             0         44          344
 3:00 PM       31        0           0          31         1       0           3            0        4         3      39           8             0         50         3          0            8             0         11           96
  3:15 PM       28    0   0   28    0   0   4    0   4    3    64    3    0   70    2    1   22   0   25    127
  3:30 PM       33    0   0   33    0   1   2    0   3    1    55    2    0   58    1    1   14   0   16    110
  3:45 PM       51    0   0   51    0   0   4    0   4    2    39    4    0   45    3    0   20   0   23    123
Hourly Total    143   0   0   143   1   1   13   0   15   9    197   17   0   223   9    2   64   0   75    456
  4:00 PM       43    0   0   43    1   1   1    0   3    0    45    3    0   48    3    4   20   0   27    121
  4:15 PM       35    0   0   35    0   1   2    0   3    4    56    2    0   62    4    2   26   0   32    132
