                                                               Chittenden County MPO
                                                                       30 Kimball Ave.
                                                               South Burlington, Vermont 05403
Station ID: COLC06 Bus                                             http://www.ccmpo.org/                                                     File Name       : COLC06
Location: US Route 7 & Sunderland Woods                                                                                                      Site Code       : 06
Town: Colchester                                                                                                                             Start Date      : 6/19/2008
Counters: CB CD JS                                                                                                                           Page No         :1


                                                                       Groups Printed- Buses
                              US Route 7 SB                                    US Route 7 NB                            Sunderland Woods
                               From North                                        From South                                 From West
        Start Time    Right   Thru          N/A   App. Total       Thru         Left         N/A   App. Total   Right      Left        N/A      App. Total      Int. Total
         07:00 AM         0      0            0            0          0            0           0            0       0         0          0               0               0
         07:15 AM         0      0            0            0          0            0           0            0       0         0          0               0               0
         07:30 AM         0      1            0            1          0            0           0            0       0         0          0               0               1
         07:45 AM         0      0            0            0          0            0           0            0       0         0          0               0               0
              Total       0      1            0            1          0            0           0            0       0         0          0               0               1

         08:00 AM        0       0           0            0           1           0           0            1       0         0          0               0               1
         08:15 AM        0       0           0            0           0           0           0            0       0         0          0               0               0
         08:30 AM        0       0           0            0           0           0           0            0       0         0          0               0               0
         08:45 AM        0       1           0            1           0           0           0            0       0         0          0               0               1
             Total       0       1           0            1           1           0           0            1       0         0          0               0               2

         09:00 AM        0       0           0            0           0           0           0            0       0         0          0               0               0
         09:15 AM        0       1           0            1           0           0           0            0       0         0          0               0               1
         09:30 AM        0       0           0            0           0           0           0            0       0         0          0               0               0
         09:45 AM        0       0           0            0           0           0           0            0       0         0          0               0               0
             Total       0       1           0            1           0           0           0            0       0         0          0               0               1

         10:00 AM        0       0           0            0           0           0           0            0       0         0          0               0               0
         10:15 AM        0       0           0            0           1           0           0            1       0         0          0               0               1
         10:30 AM        0       0           0            0           0           0           0            0       0         0          0               0               0
         10:45 AM        0       0           0            0           0           0           0            0       0         0          0               0               0
             Total       0       0           0            0           1           0           0            1       0         0          0               0               1

       Grand Total       0       3           0            3          2            0           0            2       0         0          0               0               5
         Apprch %        0     100           0                     100            0           0                    0         0          0
           Total %       0      60           0           60         40            0           0           40       0         0          0               0

