                                                                 Chittenden County MPO
                                                                         30 Kimball Ave.
                                                                 South Burlington, Vermont 05403
MILT07 - Truck/Bike                                                  http://www.ccmpo.org/                                                      File Name       : milt07
Main St. & Railroad St.                                                                                                                         Site Code       : 07
MIlton, VT / Sunny                                                                                                                              Start Date      : 7/23/2008
EP JW                                                                                                                                           Page No         :1


                                                                         Groups Printed- Trucks
                                 Main St. WB                                       Railroad St.                              Main St. EB
                                  From East                                        From South                                From West
         Start Time    Thru      Left       Bikes   App. Total      Right          Left        Bikes   App. Total   Right   Thru        Bikes      App. Total      Int. Total
          07:00 AM        0        0            0            0          0            0             0            0       1      0            1               2               2
          07:15 AM        0        1            0            1          1            1             0            2       0      1            0               1               4
          07:30 AM        1        1            0            2          2            0             0            2       0      1            0               1               5
          07:45 AM        2        0            0            2          2            0             0            2       0      4            0               4               8
               Total      3        2            0            5          5            1             0            6       1      6            1               8             19

          08:00 AM           1     0           0            1           2            0            0            2       1       2           1               4               7
          08:15 AM           1     0           0            1           1            0            0            1       0       4           1               5               7
          08:30 AM           2     0           0            2           0            0            0            0       1       2           1               4               6
          08:45 AM           3     0           0            3           1            0            1            2       0       2           0               2               7
              Total          7     0           0            7           4            0            1            5       2      10           3              15              27

          04:00 PM           3     0           0            3           0            0            0            0       0       2           0               2               5
          04:15 PM           0     0           0            0           0            1            0            1       1       2           0               3               4
          04:30 PM           2     1           0            3           0            1            0            1       0       0           0               0               4
          04:45 PM           0     0           0            0           1            0            0            1       0       0           0               0               1
              Total          5     1           0            6           1            2            0            3       1       4           0               5              14

          05:00 PM           1     0           0            1           1            1            0            2       0       0           0               0               3
          05:15 PM           2     0           2            4           0            0            0            0       0       0           0               0               4
          05:30 PM           0     0           1            1           0            0            1            1       0       1           0               1               3
          05:45 PM           1     0           0            1           0            0            3            3       0       0           0               0               4
              Total          4     0           3            7           1            1            4            6       0       1           0               1              14

        Grand Total         19     3            3          25          11            4            5           20       4      21           4              29              74
          Apprch %          76    12           12                      55           20           25                 13.8    72.4        13.8
            Total %       25.7   4.1          4.1        33.8        14.9          5.4          6.8           27     5.4    28.4         5.4            39.2

