                                                                Chittenden County MPO
                                                                        30 Kimball Ave.
                                                                South Burlington, Vermont 05403
MILT07 - Bus                                                        http://www.ccmpo.org/                                                    File Name       : milt07
Main St. & Railroad St.                                                                                                                      Site Code       : 07
MIlton, VT / Sunny                                                                                                                           Start Date      : 7/23/2008
EP JW                                                                                                                                        Page No         :1


                                                                        Groups Printed- Buses
                                 Main St. WB                                      Railroad St.                             Main St. EB
                                  From East                                       From South                               From West
         Start Time    Thru      Left        N/A   App. Total      Right         Left          N/A   App. Total   Right   Thru         N/A      App. Total      Int. Total
          07:00 AM        0        0           0            0          0            0            0            0       0      0           0               0               0
          07:15 AM        0        0           0            0          0            0            0            0       0      0           0               0               0
          07:30 AM        0        0           0            0          0            0            0            0       0      0           0               0               0
          07:45 AM        0        1           0            1          0            0            0            0       0      0           0               0               1
               Total      0        1           0            1          0            0            0            0       0      0           0               0               1

          08:00 AM          0      0          0            0          0            0            0            0       0       0          0               0               0
          08:15 AM          0      0          0            0          0            0            0            0       0       0          0               0               0
          08:30 AM          1      0          0            1          0            0            0            0       0       0          0               0               1
          08:45 AM          0      0          0            0          0            0            0            0       0       0          0               0               0
              Total         1      0          0            1          0            0            0            0       0       0          0               0               1

          04:00 PM          0      0          0            0          0            0            0            0       0       0          0               0               0
          04:15 PM          0      0          0            0          0            0            0            0       0       0          0               0               0
          04:30 PM          0      0          0            0          0            0            0            0       0       0          0               0               0
          04:45 PM          0      0          0            0          0            0            0            0       0       0          0               0               0
              Total         0      0          0            0          0            0            0            0       0       0          0               0               0

          05:00 PM          0      0          0            0          0            0            0            0       0       0          0               0               0
          05:15 PM          0      0          0            0          0            0            0            0       0       1          0               1               1
          05:30 PM          0      0          0            0          0            0            0            0       0       0          0               0               0
          05:45 PM          0      0          0            0          0            0            0            0       0       0          0               0               0
              Total         0      0          0            0          0            0            0            0       0       1          0               1               1

        Grand Total          1      1         0            2          0            0            0            0       0       1          0               1               3
          Apprch %          50     50         0                       0            0            0                    0     100          0
            Total %       33.3   33.3         0         66.7          0            0            0            0       0    33.3          0            33.3

