                                    Intersection: SR 1555 (Barber Mill Road) at SR 1556 (Government Road)
                                                                                  Count Number: 11-07079
                                                                                NCDOT Division Number: 4
                                                                                          County: Johnston
                                                                                              City: Clayton
                                                                    12 Hour Count Volume: 3,719 vehicles

             Count Day & Date                      Count Time(s)                   Weather Conditions
         Tuesday, November 1, 2011          6 AM ­ 9 AM / 10 AM ­ 7 PM                  Sunny

  Counter: Tom VandenHeuvel
  Data Processor: Shannon Grubbs, EI
  Data Collection Method: Jamar Count Board

  NOTES
  1) No schools are located in the immediate vicinity of the studied
     intersection; however, Johnston County Schools were in session
     on the date of the count.
  2) No pedestrians were observed.
  3) SB & WB approach grades are -0.5% and EB is 0%.
  4) No highway construction was observed within a ¼ mile radius.
  5) Data collection equipment was operating correctly at time of
     count.
  6) Counter took a break from 2:30 to 3:00 PM. Data for this period
     was interpolated.                                                                                VICINITY MAP
  7) The counter did not have any additional notes.




Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8743
                                    Intersection: SR 1555 (Barber Mill Road) at SR 1556 (Government Road)
                                                                                  Count Number: 11-07079
                                                                                NCDOT Division Number: 4
                                                                                          County: Johnston
                                                                                              City: Clayton
                                                                    12 Hour Count Volume: 3,719 vehicles


                              Intersection Leg Photographs ­ Facing Intersection




                                    SR 1556 (Government Road) ­ Northern Leg




        SR 1555 (Barber Mill Road) ­ Western Leg                    SR 1555 (Barber Mill Road) ­ Eastern Leg




Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8743
                                    Intersection: SR 1555 (Barber Mill Road) at SR 1556 (Government Road)
                                                                                  Count Number: 11-07079
                                                                                NCDOT Division Number: 4
                                                                                          County: Johnston
                                                                                              City: Clayton
                                                                    12 Hour Count Volume: 3,719 vehicles


                               Intersection Leg Photographs ­ Facing Upstream




                                    SR 1556 (Government Road) ­ Northern Leg




         SR 1555 (Barber Mill Road) ­ Western Leg                   SR 1555 (Barber Mill Road) ­ Eastern Leg




Mekuria Engineering, Inc.  Post Office Box 10505, Raleigh, NC 27605  www.mekuriaengineering.com  phone: 919.833.8743
                                                       Mekuria Engineering, Inc.
                                              Post Office Box 10505, Raleigh, North Carolina 27605
Counted By: Tom VandenHeuvel                                                                                                          File Name    : 11-07079
Weather Conditions: Sunny                           phone: 919.833.8743 / fax: 919.833.1276                                           Site Code    : 01107079
NCDOT Division: 4                                                                                                                     Start Date   : 11/1/2011
County: Johnston                                                                                                                      Page No      :1


                                         Groups Printed- Passenger Vehicles - Dual Trucks - Heavy Trucks
                     SR 1556 (Government
                                                SR 1555 (Barber Mill Road)                                        SR 1555 (Barber Mill Road)
                              Road)
                                                         Westbound                        Northbound                      Eastbound
                           Southbound
       Start Time    Right      Thru      Left     Right       Thru       Left      Right      Thru        Left     Right      Thru        Left     Int. Total
        06:00 AM         3          0       0          2          7           0         0          0         0          0        23          5             40
        06:15 AM         6          0       0          0         18           0         0          0         0          0        22          3             49
        06:30 AM        19          0       0          1         22           0         0          0         0          0        24         18             84
        06:45 AM        27          0       0          0         48           0         0          0         0          0        30         12            117
             Total      55          0       0          3         95           0         0          0         0          0        99         38            290

        07:00 AM       21          0          1         2        24          0          0         0          0          0        30         34           112
        07:15 AM       10          0          0         0        18          0          0         0          0          0        42         25            95
        07:30 AM       13          0          2         1        15          0          0         0          0          0        42         19            92
        07:45 AM       17          0          0         1        33          0          0         0          0          0        39          9            99
             Total     61          0          3         4        90          0          0         0          0          0       153         87           398

        08:00 AM       12          0          0         0        21          0          0         0          0          0        26         13            72
        08:15 AM       16          0          0         0        27          0          0         0          0          0        25         10            78
        08:30 AM       21          0          0         2        47          0          0         0          0          0        39         15           124
        08:45 AM        9          0          0         0        28          0          0         0          0          0        49         25           111
             Total     58          0          0         2       123          0          0         0          0          0       139         63           385

*** BREAK ***

        10:00 AM        4          0          0         0         8          0          0         0          0          0         8          6            26
        10:15 AM        2          0          0         0        15          0          0         0          0          0        15          7            39
        10:30 AM        6          0          1         0         7          0          0         0          0          0        19         10            43
        10:45 AM        8          0          0         1        13          0          0         0          0          0        22          7            51
             Total     20          0          1         1        43          0          0         0          0          0        64         30           159

        11:00 AM        5          0          1         2        10          0          0         0          0          0        13         15            46
        11:15 AM        4          0          2         0        11          0          0         0          0          0        13          7            37
        11:30 AM        3          0          0         0         9          0          0         0          0          0        13          5            30
        11:45 AM        1          0          3         1        10          0          0         0          0          0        19          1            35
             Total     13          0          6         3        40          0          0         0          0          0        58         28           148

        12:00 PM        8          0          0         1        11          0          0         0          0          0        16          4            40
        12:15 PM        3          0          1         0        15          0          0         0          0          0        13          5            37
        12:30 PM        6          0          4         2        22          0          0         0          0          0        19          7            60
        12:45 PM        5          0          1         0        21          0          0         0          0          0        21          5            53
             Total     22          0          6         3        69          0          0         0          0          0        69         21           190

        01:00 PM        5          0          1         3        13          0          0         0          0          0        20          6            48
        01:15 PM        5          0          2         0        17          0          0         0          0          0        19          8            51
        01:30 PM        5          0          0         0        21          0          0         0          0          0        14          6            46
        01:45 PM        2          0          0         1        24          0          0         0          0          0        20          7            54
             Total     17          0          3         4        75          0          0         0          0          0        73         27           199

        02:00 PM        6          0          1         1        15          0          0         0          0          0        11          8            42
        02:15 PM       16          0          1         0        20          0          0         0          0          0        11          8            56
        02:30 PM       13          0          2         2        26          0          0         0          0          0        12         14            69
        02:45 PM       13          0          2         2        26          0          0         0          0          0        12         14            69
             Total     48          0          6         5        87          0          0         0          0          0        46         44           236

        03:00 PM        9          0          3         3        31          0          0         0          0          0        13         19            78
        03:15 PM        8          0          0         2        37          0          0         0          0          0        26         12            85
        03:30 PM       13          0          1         1        26          0          0         0          0          0        22         15            78
